successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag3,2,282.60748,470.63232,0.19999999,668.457,22.125912362892976
1,drag3,3,474.34122,689.46136,0.19999999,780.5670769999999,19.40807407709003
1,drag3,4,474.34122,379.70337,0.19999999,721.041924,57.647168266224355
1,drag3,5,288.59918,638.50116,0.19999999,550.882307,51.0321698316488
1,drag3,9,270.62415,463.6378,0.19999999,709.4309999999999,94.85601337600455
1,drag3,17,440.38837,733.427,0.19999999,971.074,40.89022124543554
1,drag3,16,228.68239,703.45044,0.19999999,733.997923,64.83130365711627
1,drag3,7,465.3537,537.58,0.19999999,791.388077,68.05532664917517
1,drag3,4,423.41193,458.6417,0.19999999,751.5855379999999,48.98748409339986
1,drag3,10,235.67268,236.81499,0.19999999,881.932769,23.899779185621274
1,drag3,2,271.62274,428.6651,0.19999999,1004.0440769999999,48.64654802341465
1,drag3,11,491.35132,248.73822,0.19999999,917.8526929999999,55.796245027667275
1,drag3,4,415.42303,447.65027,0.19999999,606.804307,21.334157046758044
1,drag3,18,239.66713,789.3833,0.19999999,878.143077,44.85103490038008
1,drag3,2,233.67546,424.6682,0.19999999,893.755692,67.82114499421378
1,drag3,19,465.3537,807.36926,0.19999999,1035.019539,30.374447451224906
0,drag3,13,498.30792,98.922714,0.19999999,1213.2095379999998,107.85095713578009
1,drag3,6,242.00621,340.56277,0.19999999,889.484923,45.62661121999752
1,drag3,12,244.6602,159.87509,0.19999999,953.3700769999999,46.288977410717614
1,drag3,8,466.3523,323.74707,0.19999999,779.067154,45.52501219786675
1,drag3,19,440.38837,834.34814,0.19999999,1016.103,37.06089014449737
1,drag3,22,249.65326,1034.192,0.19999999,930.238538,17.90866808454635
0,drag3,18,277.61444,720.43713,0.19999999,777.902923,127.99205616565834
1,drag3,23,448.37726,1021.2022,0.19999999,881.083769,17.22459011207111
1,drag3,14,274.6186,42.96643,0.19999999,1402.782692,52.87255985410119
1,drag3,11,473.3426,211.69888,0.19999999,1494.737077,44.900883962332635
