successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag3,2,274.6186,439.65652,0.19999999,1471.570231,55.20014258935368
1,drag3,3,384.46603,617.5176,0.19999999,1415.309077,79.80989443244361
0,drag3,4,447.37866,50.960186,0.19999999,2062.797615,463.52799638568575
0,drag3,5,417.42026,106.91647,0.19999999,94.132538,605.2867089239611
0,drag3,9,217.65205,703.70135,0.19999999,1597.778615,132.5008164524628
1,drag3,17,501.30374,750.41376,0.19999999,1647.298307,59.03430775463187
1,drag3,16,180.74896,779.3911,0.19999999,1509.738308,92.53079205116732
0,drag3,7,441.38696,104.91803,0.19999999,4782.145845999999,512.4397074063278
0,drag3,4,424.41055,1042.1858,0.19999999,1507.210077,605.9105331919181
0,drag3,10,391.45633,767.40045,0.19999999,681.711153,506.2071870347176
0,drag3,2,317.55896,35.971897,0.19999999,2623.52,450.6698690211979
0,drag3,11,400.44385,1218.0483,0.19999999,1736.669461,940.4527470202455
0,drag3,4,448.37726,54.957066,0.19999999,1573.0313079999999,430.15161883013997
0,drag3,18,272.62137,1240.0313,0.19999999,1588.270846,365.1359997314664
0,drag3,2,248.43477,327.96396,0.19999999,1149.233923,146.1729242816291
1,drag3,19,453.37033,821.35834,0.19999999,2658.641001,42.40355444874887
1,drag3,13,445.38144,169.8673,0.19999999,1590.6776149999998,67.4465857464079
1,drag3,6,254.64633,356.7213,0.19999999,1553.287846,50.14073053246647
1,drag3,12,260.638,161.87354,0.19999999,873.545615,70.50683382427636
1,drag3,8,472.34396,362.7166,0.19999999,1298.674692,31.856019276882233
1,drag3,19,449.9072,847.9337,0.19999999,1188.681308,26.86394766940157
1,drag3,22,250.65187,1052.178,0.19999999,842.264154,27.13305332634547
1,drag3,18,259.6394,837.3458,0.19999999,403.62807699999996,14.452954345965052
1,drag3,23,500.30515,1038.189,0.19999999,758.0910769999999,40.03876627306565
1,drag3,14,268.62692,25.979704,0.19999999,1401.715769,80.18476160493277
1,drag3,11,473.3426,268.79,0.19999999,962.3062299999999,20.93173593920059
1,drag3,10,245.65881,253.80171,0.19999999,822.908923,63.73692547802004
1,drag3,15,463.35645,47.96253,0.19999999,828.74177,90.96533301617646
1,drag3,17,454.36893,757.40826,0.19999999,1155.892461,17.844954402127502
1,drag3,20,240.66574,950.2576,0.19999999,693.729924,27.3529380427697
1,drag3,21,446.38004,936.26855,0.19999999,693.391,38.13525157120643
1,drag3,16,243.66159,744.4184,0.19999999,863.418231,45.80083671407859
1,drag3,24,170.76283,49.960968,0.19999999,1237.946538,61.95198487385567
1,drag3,26,367.4896,246.80717,0.19999999,1017.987307,53.668660520892644
1,drag3,27,172.76006,246.80717,0.19999999,719.058307,36.29868073748458
1,drag3,25,358.50208,55.956284,0.19999999,977.222769,47.2740316963214
1,drag3,66,558.2247,1010.21075,0.19999999,1276.649461,27.96742242009553
1,drag3,41,337.53122,761.40515,0.19999999,892.4409999999999,72.1250828057375
1,drag3,42,363.49515,1088.1499,0.19999999,723.585307,54.387688649981804
1,drag3,65,561.2205,792.3809,0.19999999,784.861769,67.88051314391868
1,drag3,36,148.79335,501.60812,0.19999999,875.145538,75.08722341903899
1,drag3,38,373.4813,727.4317,0.19999999,1030.926,46.372219911092806
1,drag3,39,171.76144,744.4184,0.19999999,623.625846,32.40387019057902
1,drag3,37,362.49655,526.5886,0.19999999,836.936461,67.03882724346482
0,drag3,16,357.50348,579.54724,0.19999999,85.674692,216.70998352235253
1,drag3,56,66.907074,1027.1975,0.19999999,1362.723923,71.82376600379574
1,drag3,20,309.6228,941.31744,0.19999999,923.556384,46.10772186731439
1,drag3,53,94.86824,707.4473,0.19999999,1784.9104619999998,57.85140194130274
1,drag3,59,518.28015,151.88135,0.19999999,1386.371308,59.40658994015049
1,drag3,30,330.54092,395.69086,0.19999999,940.7374619999999,41.94697119602661
1,drag3,29,349.51456,161.87354,0.19999999,714.331693,72.62253408961679
1,drag3,60,558.2247,330.7416,0.19999999,1173.731077,51.40718816847547
1,drag3,33,336.5326,449.6487,0.19999999,1196.309385,76.35504287704978
1,drag3,62,574.3489,678.47,0.19999999,878.0346149999999,18.739238591298353
1,drag3,61,532.26074,440.65573,0.19999999,794.376231,55.806369474011156
1,drag3,34,354.50763,650.4918,0.19999999,697.389539,33.84022990899983
1,drag3,6,235.68523,347.72833,0.19999999,949.656539,72.67552947967411
1,drag3,48,87.87886,125.90164,0.19999999,849.6171539999999,92.85144813563379
1,drag3,12,313.5645,183.85637,0.19999999,685.369615,52.90399921979354
1,drag3,49,71.90014,354.72287,0.19999999,1374.60577,47.54646679643112
1,drag3,51,57.919556,687.4629,0.19999999,678.2564619999999,18.111821370816646
1,drag3,2,258.64078,449.6487,0.19999999,718.8057689999999,50.30057039222779
1,drag3,5,286.60196,667.4785,0.19999999,807.9710769999999,34.318879620559635
1,drag3,50,148.79335,526.5886,0.19999999,548.374615,68.67965738608233
1,drag3,37,432.39944,555.566,0.19999999,833.937538,54.06385435595899
1,drag3,64,556.2275,743.4192,0.19999999,1004.793461,64.10103044820839
1,drag3,38,388.46048,809.3677,0.19999999,733.889,96.66727240630009
1,drag3,63,558.2247,530.58545,0.19999999,980.7903839999999,80.73611532790436
0,drag3,29,481.33148,264.79312,0.19999999,768.928231,162.9865799298097
1,drag3,31,142.47536,369.71115,0.19999999,1181.5563849999999,40.77737021918426
1,drag3,28,152.0061,141.10696,0.19999999,904.596154,88.52229981314416
1,drag3,30,380.4716,295.76892,0.19999999,989.1327699999999,78.36156398117969
1,drag3,42,335.65192,1085.1522,0.19999999,1168.672231,49.66474752170684
0,drag3,40,153.7864,761.40515,0.19999999,918.931616,103.250955218915
0,drag3,41,459.362,875.31616,0.19999999,767.9209999999999,113.57719620816174
1,drag3,43,159.77809,1040.1874,0.19999999,870.427231,26.260488972932244
0,drag3,45,192.73232,891.30365,0.19999999,718.970077,102.15926042506956
1,drag3,82,372.48267,1154.0984,0.19999999,1018.1319229999999,22.859540677741357
1,drag3,80,88.876564,1142.1077,0.19999999,621.974308,100.07894973850367
0,drag3,44,389.4591,849.3364,0.19999999,985.6079229999999,122.712936683868
1,drag3,57,567.2122,58.95394,0.19999999,1534.460077,49.129061081700264
1,drag3,26,349.51456,299.7658,0.19999999,785.098308,13.084643048059831
1,drag3,58,564.2164,261.79547,0.19999999,703.96777,89.96784737095533
0,drag3,25,591.17896,293.77048,0.19999999,388.896692,318.1915567968937
1,drag3,64,519.2788,755.40985,0.19999999,913.646539,43.29777292341282
1,drag3,44,290.5964,1008.21234,0.19999999,557.32177,92.32196862540025
0,drag3,38,359.26422,961.9014,0.19999999,270.00215399999996,152.89084408947645
1,drag3,67,550.2358,960.2498,0.19999999,376.94861499999996,36.1015982878441
1,drag3,9,252.64911,580.54645,0.19999999,919.8075389999999,47.42258350751938
1,drag3,53,42.94036,786.3856,0.19999999,496.448846,32.64110550039228
1,drag3,16,321.5534,738.4231,0.19999999,533.072692,75.68855696641376
1,drag3,52,71.90014,499.60968,0.19999999,791.760308,72.72557850417789
0,drag3,74,697.0319,468.63388,0.19999999,712.742077,106.10708533681806
1,drag3,17,459.362,762.40436,0.19999999,538.235924,47.165418004040966
1,drag3,75,655.09015,750.41376,0.19999999,279.61699999999996,26.029963916805258
1,drag3,7,442.02197,550.20605,0.19999999,832.387923,75.7626824919033
0,drag3,70,637.1151,78.93833,0.19999999,584.154692,124.12742023621334
1,drag3,8,436.39392,348.72757,0.19999999,576.284307,48.86122199222096
0,drag3,13,466.3523,123.9032,0.19999999,597.840385,110.83455648825725
1,drag3,71,693.0375,408.68073,0.19999999,640.685693,76.64952694468505
1,drag3,78,637.1151,932.27167,0.19999999,668.285231,23.73217270694983
1,drag3,83,455.36755,1166.089,0.19999999,521.407923,4.335875055791363
1,drag3,21,477.33704,909.2896,0.19999999,325.957385,67.36009422347355
1,drag3,85,655.09015,1179.0789,0.19999999,722.576154,51.93467807692244
1,drag3,19,464.35507,987.2287,0.19999999,523.086154,97.67091247293125
1,drag3,77,643.1068,1053.1772,0.19999999,330.46984699999996,35.61166061261216
