successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag3,2,291.595,493.61435,0.19999999,436.150846,42.688411904947365
1,drag3,3,504.2996,706.44806,0.19999999,281.995077,85.68850660676259
1,drag3,4,430.40222,414.67603,0.19999999,623.085923,84.11453095807471
1,drag3,5,274.6186,638.50116,0.19999999,513.128846,26.297014479527903
1,drag3,9,261.63663,525.58936,0.19999999,551.657692,68.30180756921658
1,drag3,17,450.37448,737.4239,0.19999999,550.3028459999999,34.86943062807149
1,drag3,16,253.64772,710.44495,0.19999999,446.978231,71.81384815189239
1,drag3,7,471.34537,524.59015,0.19999999,515.1021539999999,80.22548392408306
1,drag3,4,458.3634,449.6487,0.19999999,497.81938399999996,40.444697797301615
1,drag3,10,249.65326,244.80875,0.19999999,1009.5696919999999,51.72034957522064
1,drag3,2,277.61444,502.60733,0.19999999,491.86961599999995,52.20316458611501
1,drag3,11,474.34122,262.79468,0.19999999,606.874615,53.34990100428257
1,drag3,4,459.362,476.62762,0.19999999,419.801539,27.84977127305097
1,drag3,18,280.61026,868.3216,0.19999999,576.9125389999999,3.9509840815517507
1,drag3,2,263.63385,395.69086,0.19999999,608.758384,101.69515513968842
1,drag3,19,449.3759,825.35516,0.19999999,585.500154,45.3151005727598
0,drag3,13,457.36478,99.921936,0.19999999,675.183231,105.76880413812827
1,drag3,6,303.57837,347.72833,0.19999999,501.41999999999996,64.91070994316571
1,drag3,12,234.67407,136.89305,0.19999999,435.74069299999996,100.0180326018275
1,drag3,8,479.33426,421.67056,0.19999999,652.297,54.443043004301344
1,drag3,19,441.73776,878.611,0.19999999,540.003616,33.57131725176603
1,drag3,22,237.6699,1054.1764,0.19999999,285.632,10.559015523282111
1,drag3,18,255.64494,729.4301,0.19999999,376.901923,92.30830618880988
1,drag3,23,445.38144,1040.1874,0.19999999,396.523615,7.736035295998313
1,drag3,14,267.6283,50.960186,0.19999999,1007.2442309999999,29.857437736286403
1,drag3,11,455.36755,266.79156,0.19999999,492.28561499999995,38.92313676630509
1,drag3,10,242.66298,255.80016,0.19999999,658.353385,22.807195804244007
1,drag3,15,439.38974,65.94848,0.19999999,743.730385,10.651512199681623
1,drag3,17,488.32178,740.4216,0.19999999,585.7387699999999,49.4443733707049
1,drag3,20,272.62137,932.27167,0.19999999,411.085,41.30753811374575
1,drag3,21,467.35092,886.30756,0.19999999,318.831615,86.94807228440352
1,drag3,16,227.68378,662.4824,0.19999999,505.94577,76.63085688929714
1,drag3,24,161.77531,51.959408,0.19999999,782.83377,47.378006274938436
1,drag3,26,337.53122,248.80562,0.19999999,669.303,30.20869236658797
1,drag3,27,171.76144,229.82045,0.19999999,367.810615,62.15932809304834
1,drag3,25,323.55063,63.95004,0.19999999,498.152154,51.0715580395311
1,drag3,66,557.2261,1016.2061,0.19999999,1028.99,29.73016709494622
0,drag3,41,373.4813,723.4348,0.19999999,434.399616,118.49742601226771
1,drag3,42,349.51456,1036.1904,0.19999999,387.265769,33.45279086070601
1,drag3,65,560.2219,759.40674,0.19999999,467.68607699999995,70.84213001100665
1,drag3,36,219.69487,492.61514,0.19999999,397.39784599999996,85.1505814745644
1,drag3,38,398.15564,749.89703,0.19999999,197.064384,17.50853496690329
0,drag3,39,193.73093,654.4887,0.19999999,183.35615299999998,114.06721654887771
1,drag3,37,389.4591,490.6167,0.19999999,184.551692,79.85229136643595
1,drag3,16,285.60333,686.4637,0.19999999,208.250307,62.31830277071081
0,drag3,56,171.76144,852.3341,0.19999999,151.265539,136.81595871677217
1,drag3,20,312.5659,905.2927,0.19999999,128.025615,87.17890024511287
0,drag3,53,112.84328,658.48553,0.19999999,188.188231,114.59962941047358
1,drag3,59,564.2164,180.8587,0.19999999,341.14969199999996,39.61182833326069
1,drag3,30,432.39944,338.73535,0.19999999,181.617846,82.7864789668382
0,drag3,29,354.50763,100.92116,0.19999999,207.970384,112.62801792440662
1,drag3,60,520.2774,347.72833,0.19999999,173.25853899999998,39.51657138293269
1,drag3,33,361.49792,449.6487,0.19999999,152.281385,17.16214235072421
1,drag3,62,518.38324,669.00226,0.19999999,153.656924,11.392452315689251
1,drag3,61,546.24133,402.6854,0.19999999,126.11446199999999,92.44123623452208
0,drag3,34,423.41193,579.54724,0.19999999,161.18469199999998,106.2703272438105
1,drag3,6,331.53955,352.72443,0.19999999,160.06984599999998,95.36335940056148
1,drag3,48,139.80583,196.8462,0.19999999,206.45123099999998,69.28588800803138
0,drag3,12,334.27374,65.57978,0.19999999,205.583077,168.43790516033283
0,drag3,49,171.76144,297.76736,0.19999999,229.33130799999998,135.91896588968635
0,drag3,51,125.82525,541.5769,0.19999999,240.93653799999998,131.39464757781965
1,drag3,2,284.60474,410.67917,0.19999999,150.178384,93.69092509828893
1,drag3,5,267.6283,606.5261,0.19999999,180.70130699999999,48.2335251260473
1,drag3,50,85.88072,425.66745,0.19999999,171.746769,67.53176240117098
1,drag3,37,368.48822,540.5777,0.19999999,223.34422999999998,45.044140947377116
1,drag3,64,531.2799,728.1097,0.19999999,167.255307,28.895528546134134
1,drag3,38,367.91742,678.0127,0.19999999,149.077462,90.6971138401003
1,drag3,63,552.58826,531.139,0.19999999,164.86730799999998,66.08604466674618
0,drag3,29,484.32733,323.74707,0.19999999,171.24007699999999,190.58035356686284
0,drag3,31,284.60474,331.7408,0.19999999,171.05592299999998,123.50708846432062
1,drag3,28,251.6505,207.83763,0.19999999,143.370231,89.3478886226544
1,drag3,30,345.5201,344.73068,0.19999999,170.47761599999998,32.937847105113015
1,drag3,42,379.51923,1013.9027,0.19999999,365.70077,38.26987964530776
1,drag3,40,181.74757,807.36926,0.19999999,145.61046199999998,58.22393133604709
1,drag3,41,345.5201,813.36456,0.19999999,118.766769,52.03196405792131
1,drag3,43,195.72816,956.2529,0.19999999,169.066923,92.30408692640903
0,drag3,45,148.79335,836.3466,0.19999999,168.027538,141.06840568283096
0,drag3,82,267.6283,965.2459,0.19999999,142.635615,178.61377575511534
0,drag3,80,222.69072,1079.1569,0.19999999,126.51946099999999,104.79337414151557
0,drag3,44,410.42996,858.3294,0.19999999,240.52046099999998,128.6441191163908
0,drag3,57,628.1276,25.979704,0.19999999,340.847077,116.48869103566327
1,drag3,26,441.2511,271.82077,0.19999999,186.097307,92.18351665777635
0,drag3,58,564.2164,179.85948,0.19999999,131.91669199999998,147.0642018611777
0,drag3,25,456.89532,166.5878,0.19999999,163.37199999999999,121.44084311839738
1,drag3,64,541.2483,705.44885,0.19999999,965.195693,27.35548488791664
1,drag3,44,375.47852,923.2787,0.19999999,207.588,61.49521931769427
0,drag3,38,356.50485,663.4816,0.19999999,103.153307,105.10435726027706
0,drag3,67,485.32596,783.388,0.19999999,102.975462,157.7922030521495
1,drag3,9,352.5104,570.55426,0.19999999,150.78292399999998,84.3191196301518
0,drag3,53,119.833565,711.44415,0.19999999,275.11846099999997,124.55753321012354
1,drag3,16,281.6089,723.4348,0.19999999,117.410231,31.027895353839302
1,drag3,52,137.80861,572.5527,0.19999999,140.57999999999998,67.91761654545849
0,drag3,74,490.319,503.60657,0.19999999,296.299,155.9649312132941
0,drag3,17,468.34952,646.49493,0.19999999,174.538692,132.03317364442532
1,drag3,75,560.2219,713.4426,0.19999999,110.214923,51.43212930259347
1,drag3,7,495.31207,602.5293,0.19999999,124.07592299999999,83.8022148420857
0,drag3,70,661.08185,98.922714,0.19999999,629.7967689999999,126.9935041508974
1,drag3,8,471.34537,309.758,0.19999999,331.374538,100.48345211178717
0,drag3,13,455.36755,57.954723,0.19999999,156.85484599999998,130.6532942952858
0,drag3,71,588.1831,282.77908,0.19999999,162.07030699999999,104.25271750078758
0,drag3,78,613.14844,788.3841,0.19999999,255.019154,170.67101001049932
1,drag3,83,464.35507,1147.1039,0.19999999,293.134846,13.889322017323982
0,drag3,21,459.362,778.3919,0.19999999,167.91223,164.17212979633317
0,drag3,85,605.1595,1004.21545,0.19999999,143.22623099999998,150.06600127818513
1,drag3,19,492.31622,861.3271,0.19999999,108.104692,66.2629095340844
1,drag3,77,628.80914,1022.51587,0.19999999,127.728077,15.115323478651998
0,drag3,76,669.07074,746.4169,0.19999999,183.050615,114.89787519689183
0,drag3,23,542.2469,929.274,0.19999999,159.749153,167.84045821256586
1,drag3,15,487.32318,14.988291,0.19999999,599.607923,87.25875574439875
1,drag3,69,634.11926,235.81577,0.19999999,228.36399999999998,58.33557998840918
1,drag3,11,531.26215,279.78143,0.19999999,116.945692,98.53395700169152
1,drag3,68,644.1054,107.91569,0.19999999,176.875308,18.482657343279026
1,drag3,21,450.37448,885.30835,0.19999999,599.3574619999999,61.70304802671145
1,drag3,75,663.0791,727.4317,0.19999999,201.714462,87.7882475211506
1,drag3,17,515.28436,762.40436,0.19999999,134.61269199999998,86.34844119654187
1,drag3,78,589.1817,882.31067,0.19999999,129.31015399999998,79.72042710705803
0,drag3,54,183.7448,861.3271,0.19999999,324.181,107.71520950222539
1,drag3,22,239.66713,947.25995,0.19999999,121.293616,73.08654750907758
1,drag3,18,313.5645,791.3817,0.19999999,128.862923,87.98344055764157
0,drag3,55,167.767,994.22327,0.19999999,219.05961499999998,104.06893470710745
0,drag3,67,483.32874,834.34814,0.19999999,227.297923,104.05217932722684
1,drag3,82,377.47574,1063.1694,0.19999999,181.229077,78.89736277368324
0,drag3,84,493.31485,1059.1725,0.19999999,113.855154,111.95175105722267
0,drag3,44,372.48267,819.35986,0.19999999,150.889769,117.020515182841
1,drag3,38,376.4771,683.46606,0.19999999,115.91407699999999,96.16069071928452
0,drag3,45,257.64218,822.35754,0.19999999,156.07669199999998,149.65936222536425
1,drag3,44,349.51456,941.26465,0.19999999,94.796539,4.027427043132089
1,drag3,39,224.68794,732.4278,0.19999999,144.02461599999998,69.93472676691765
