tap12-3,1624170061792,64.78787786102104
tap13-4,1103,274.0763663311813
tap14-5,1173,201.85219665856283
tap15-9,1077,241.98973098182702
tap19-17,1168,82.79209873752939
tap117-16,903,270.6352344886263
tap116-7,924,204.91309943101783
tap17-4,971,260.665695716903
tap14-10,969,109.20751814797728
tap110-2,1306,261.35952171903864
tap12-11,1224,171.28207918712513
tap111-4,1638,263.71535758317964
tap14-18,1437,172.9687681560396
tap118-2,1311,430.7613836708973
tap12-19,1305,368.76062448402377
tap119-13,1173,416.9749214149097
tap113-6,1701,665.4801025390625
tap16-12,975,297.3924386754263
tap112-8,1350,227.61497063003466
tap18-19,1228,284.1269900917677
tap119-22,1254,470.76050082713385
tap122-18,1147,274.43252555771494
tap118-23,1250,215.8683813996307
tap123-14,1400,278.3589593107742
tap114-11,1640,968.0348575686461
tap111-10,1245,277.6121226679312
tap110-15,1378,199.62881658019475
tap115-17,1282,272.1409764178029
tap117-20,1293,662.5305892427813
tap120-21,1100,263.5748162741317
tap121-16,1167,178.64080104738764
tap116-9,1199,285.12827480884204
tap19-8,1121,199.8663261255818
tap18-6,1759,254.52670794691286
tap16-7,1150,181.75033579472603
tap17-24,1983,263.38853825813493
tap124-26,1421,552.8579181694648
tap126-27,1212,283.5404781634857
tap127-25,1146,193.93954108004706
tap125-66,1192,268.9544261476742
tap166-41,1337,991.7464678723817
tap141-42,1048,290.286097737742
tap142-65,1086,205.8779261515328
tap165-36,1038,286.25757570315136
tap136-38,1248,495.10078460974063
tap138-39,1167,283.95151765838335
tap139-37,1038,185.76620778348823
tap137-16,1266,254.38493631918405
tap116-56,967,196.25369519703946
tap156-20,1689,270.53394049892773
tap120-53,1022,170.11967223533892
tap153-59,1104,263.8683886846148
tap159-30,1385,726.004248964744
tap130-29,1119,249.34589146794622
tap129-60,1175,182.8571319580078
tap160-33,1185,263.07377275040477
tap133-62,1009,212.59831748566066
tap162-61,1065,239.073658119386
tap161-34,1301,188.87620825638885
tap134-6,886,275.56762784273377
tap16-48,1040,307.50472358016106
tap148-12,1064,278.52066988485365
tap112-49,974,216.22053920117202
tap149-51,993,273.16365205491604
tap151-2,922,279.89543738130266
tap12-5,1071,276.49687667265374
tap15-50,1122,192.16431817754372
tap150-37,1292,264.9267742536605
tap137-64,1073,306.35153077849094
tap164-38,1059,263.48654442529596
tap138-63,1055,173.86209646122728
tap163-29,1037,266.33135947046713
tap129-31,1393,419.9848912821432
tap131-28,913,250.0830013263829
tap128-30,977,204.05348682381958
tap130-42,1010,289.68143767688514
tap142-40,1062,679.5161408709209
tap140-41,993,261.5481037190522
tap141-43,1020,165.78182147591136
tap143-45,1049,268.54830443295253
tap145-82,1075,112.02392661784903
tap182-80,1056,270.20021123856594
tap180-44,1102,178.66076614119484
tap144-57,998,285.05042544559797
tap157-26,1786,859.352890855614
tap126-58,1130,246.38005921843546
tap158-25,1010,199.53626891831294
tap125-64,1057,262.3876072649392
tap164-44,1193,687.0663260286451
tap144-38,899,226.97625278463357
tap138-67,933,166.97120281068644
tap167-9,938,291.17427175445624
tap19-53,937,503.97463354692064
tap153-16,868,254.9560207580728
tap116-52,954,182.9548886902303
tap152-74,973,273.48241448574197
tap174-17,1357,558.353433908075
tap117-75,818,250.79660144929107
tap175-7,805,194.75247002487234
tap17-38,963,292.5861206021918
