successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag1,2,256.3863,460.99582,0.19999999,6975.3830769999995,52.51588925545484
1,drag1,3,432.39944,639.50037,0.19999999,5664.400231,53.53175991283698
1,drag1,4,422.41333,476.62762,0.19999999,3886.589462,47.82580892424016
1,drag1,5,258.64078,644.49646,0.19999999,2607.166077,49.337321823078724
0,drag1,9,718.0028,1265.0117,0.19999999,2955.8915389999997,808.8605388903485
1,drag1,17,450.56976,743.4192,0.19999999,2572.642385,45.233458554993796
1,drag1,16,237.6699,754.41064,0.19999999,2911.219,46.96016157946439
1,drag1,7,448.37726,556.5652,0.19999999,2795.6513849999997,46.924623846557566
1,drag1,4,465.3537,466.63544,0.19999999,3309.915385,48.9250175185375
1,drag1,10,258.64078,279.78143,0.19999999,2747.136154,41.83569704573493
1,drag1,2,276.6158,430.66354,0.19999999,2534.3534609999997,54.11071205092229
1,drag1,11,440.38837,274.7853,0.19999999,2820.837615,47.81729255379691
1,drag1,4,437.39252,465.63623,0.19999999,3023.185462,48.12123138980301
1,drag1,18,252.64911,837.3458,0.19999999,3528.782154,47.29406644019779
1,drag1,2,204.71568,461.63934,0.19999999,3007.446923,48.91561728585835
1,drag1,19,468.34952,798.3763,0.19999999,3762.348692,55.32369181712104
1,drag1,13,453.37033,177.86104,0.19999999,3041.184461,47.453062291321444
1,drag1,6,246.65742,372.70883,0.19999999,2907.5875389999997,48.11156915579683
1,drag1,12,267.6283,163.87198,0.19999999,2249.754,51.05425551403387
1,drag1,8,404.4383,341.73303,0.19999999,3656.879308,47.145942543565916
1,drag1,19,421.4147,839.34424,0.19999999,4542.053847,45.33801271611103
1,drag1,22,275.61722,1024.1998,0.19999999,4264.660769,48.14044242384611
1,drag1,18,286.60196,828.35284,0.19999999,2307.701615,49.82042841366371
1,drag1,23,451.3731,1003.21625,0.19999999,2890.978,49.12799112402473
1,drag1,14,267.6283,47.442406,0.19999999,3231.293308,45.73559957182083
1,drag1,11,450.37448,232.81812,0.19999999,3276.618,47.141865178676355
1,drag1,10,257.64218,267.7908,0.19999999,2355.210616,47.96171511297028
1,drag1,15,466.3523,68.94614,0.19999999,1894.0818459999998,59.82677238537891
1,drag1,17,430.40222,741.4208,0.19999999,7781.381077,46.53158851236044
1,drag1,20,264.63245,929.274,0.19999999,3512.130154,48.220669782591024
1,drag1,21,430.40222,922.2795,0.19999999,2623.052847,42.984130228138504
1,drag1,16,257.64218,747.4161,0.19999999,4837.303538,48.882817022065204
1,drag1,24,171.76144,65.94848,0.19999999,3363.118924,58.49888655215274
1,drag1,26,340.52704,280.78064,0.19999999,11159.243924,44.27244062148718
1,drag1,27,160.7767,267.7908,0.19999999,3460.054616,51.02909889846019
1,drag1,25,311.56726,88.93052,0.19999999,3900.482154,47.92487438899885
1,drag1,66,509.29266,1020.20294,0.19999999,3178.522154,47.716716746626055
1,drag1,41,336.5326,838.34503,0.19999999,1564.814692,49.916217915118764
1,drag1,42,372.75192,1013.93823,0.19999999,1375.199615,52.39416673603586
1,drag1,65,520.2774,846.3388,0.19999999,3134.588461,47.8157361811949
