successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag1,2,222.69072,428.6651,0.19999999,2627.0743079999997,50.95700068603577
1,drag1,3,447.37866,607.5254,0.19999999,1476.6051539999999,40.56056951024716
0,drag1,4,469.34814,668.4777,0.19999999,11.950308,202.2473732833136
1,drag1,5,271.62274,628.509,0.19999999,2131.469616,50.05212993891733
1,drag1,9,267.6283,540.5777,0.19999999,1966.606231,50.52074377562043
1,drag1,17,446.38004,694.45746,0.19999999,2702.224385,52.37308065427388
1,drag1,16,274.6186,688.46216,0.19999999,2357.344307,56.20445127108123
1,drag1,7,442.3856,537.58,0.19999999,2936.8087699999996,51.88641998990207
1,drag1,4,441.38696,447.65027,0.19999999,2369.616308,47.060020620172644
1,drag1,10,253.64772,243.80952,0.19999999,1990.752154,55.89956990702507
1,drag1,2,245.65881,411.67838,0.19999999,1766.83177,66.71068248641124
1,drag1,11,445.69794,250.80406,0.19999999,2184.967154,50.83412762636901
1,drag1,4,440.38837,402.6854,0.19999999,1784.793385,60.11646302851271
1,drag1,18,279.61166,781.3895,0.19999999,2779.945308,50.40774439850886
1,drag1,2,280.61026,428.6651,0.19999999,2232.717154,49.88595773262651
1,drag1,19,445.38144,779.3911,0.19999999,3768.1779229999997,48.40632971786637
1,drag1,13,454.36893,141.88914,0.19999999,3145.9736159999998,46.48104989279817
1,drag1,6,267.6283,337.73615,0.19999999,1730.900077,48.141074600901405
1,drag1,12,255.64494,147.88446,0.19999999,1953.1451539999998,49.81030281179154
1,drag1,8,451.3731,316.75253,0.19999999,2432.305924,49.12795570761542
1,drag1,19,453.37033,783.388,0.19999999,2311.785308,44.620265495872175
1,drag1,22,287.60056,999.21936,0.19999999,2623.299846,44.12992439917223
1,drag1,18,270.62415,798.3763,0.19999999,2109.4958469999997,51.81520007237057
1,drag1,23,418.41888,995.2225,0.19999999,2421.305077,49.6491728082916
1,drag1,14,274.6186,37.970337,0.19999999,2539.441692,57.20938853802738
1,drag1,11,436.39392,212.83372,0.19999999,5250.889693,54.20605580145729
1,drag1,10,240.66574,219.82826,0.19999999,2193.901923,56.96417565036094
1,drag1,15,444.3828,54.957066,0.19999999,3053.991462,65.1525946163291
1,drag1,17,406.43552,686.4637,0.19999999,3486.418924,55.803391977891025
1,drag1,20,272.62137,886.30756,0.19999999,1189.755615,53.18373817378008
1,drag1,21,435.3953,890.30444,0.19999999,3550.989769,40.00920456970561
1,drag1,16,269.95596,709.6111,0.19999999,2484.545385,49.22712968160098
1,drag1,24,138.80722,39.968773,0.19999999,2339.485077,54.99425405507762
1,drag1,26,372.48267,199.84387,0.19999999,1339.336078,48.1891490121343
1,drag1,27,183.7448,226.8228,0.19999999,2587.236769,49.24291740895193
1,drag1,25,332.53815,48.96175,0.19999999,2551.448539,45.83069543232392
1,drag1,66,547.2399,998.22015,0.19999999,4250.226616,44.74529756357389
1,drag1,41,388.46048,793.3802,0.19999999,3307.989385,46.11132153815737
1,drag1,42,373.4813,981.2334,0.19999999,1777.982,39.23035790027887
1,drag1,65,569.2095,807.36926,0.19999999,2127.081308,47.280212357560494
1,drag1,36,155.13611,515.9485,0.19999999,2974.2305389999997,41.489147811560656
1,drag1,38,345.5201,706.44806,0.19999999,1524.857769,46.462180206046824
1,drag1,39,190.73509,689.46136,0.19999999,1869.668461,54.31800465826367
1,drag1,37,343.5229,540.5777,0.19999999,1663.8069229999999,52.82677601768412
1,drag1,16,266.78784,708.44653,0.19999999,1884.4066149999999,50.1422816778911
1,drag1,56,72.89875,901.29584,0.19999999,1974.246615,46.19568187432891
1,drag1,20,231.67822,876.31537,0.19999999,2629.5319999999997,57.046533602445535
1,drag1,53,76.8932,697.45514,0.19999999,2753.861923,44.194385609755855
1,drag1,59,509.29266,143.88759,0.19999999,3489.763,51.81497918538189
1,drag1,30,372.8388,331.7408,0.19999999,2121.859,53.40524984423534
1,drag1,29,365.49237,160.87431,0.19999999,2465.990769,49.854523924479274
1,drag1,60,562.2192,305.7611,0.19999999,1817.998924,56.106819873082955
1,drag1,33,385.46463,419.67212,0.19999999,2985.691616,55.0019787581873
1,drag1,62,542.71643,590.53864,0.19999999,3352.3885379999997,50.14635187409195
1,drag1,61,569.2095,441.98657,0.19999999,2690.031231,46.493271364949045
1,drag1,34,358.50208,601.53,0.19999999,2782.0250779999997,50.10922810468592
1,drag1,6,288.59918,308.7588,0.19999999,2852.4746929999997,55.772940744245574
1,drag1,48,69.902916,114.910225,0.19999999,2109.1412299999997,57.966538113403075
1,drag1,12,224.68794,125.90164,0.19999999,3252.4528459999997,46.16685500235023
1,drag1,49,62.912624,337.73615,0.19999999,2400.3103849999998,44.483319055399186
1,drag1,51,48.93204,566.5574,0.19999999,1940.1504619999998,61.83003254448471
1,drag1,2,244.6602,439.65652,0.19999999,2808.369539,49.95976334413152
1,drag1,5,284.60474,592.5371,0.19999999,3490.663462,44.160854405996545
1,drag1,50,68.904305,426.66666,0.19999999,2797.646385,52.02286890055503
1,drag1,37,340.52704,487.61905,0.19999999,2974.679384,48.05546698825097
1,drag1,64,523.27325,679.4692,0.19999999,3230.4313079999997,47.166904226615316
1,drag1,38,381.47018,678.47,0.19999999,3470.475308,47.254856851173656
1,drag1,63,528.2663,526.74414,0.19999999,2919.266538,43.86464399517078
1,drag1,29,366.491,119.90633,0.19999999,4381.905307999999,54.14093945643151
1,drag1,31,189.73648,317.75177,0.19999999,2988.4523839999997,44.324848564961876
1,drag1,28,164.77115,150.88213,0.19999999,2455.731616,57.938394580178766
1,drag1,30,338.52982,325.7455,0.19999999,3251.587385,52.16491308490221
1,drag1,42,359.5007,982.2326,0.19999999,3279.1754619999997,50.8426964030217
1,drag1,40,175.7559,772.39655,0.19999999,3099.6019229999997,65.83801343724033
1,drag1,41,331.53955,785.3864,0.19999999,3018.546077,49.50852329062348
1,drag1,43,171.76144,961.249,0.19999999,2399.271077,49.11646613830168
1,drag1,45,170.76283,898.2982,0.19999999,1888.049,51.04168464415245
1,drag1,82,349.51456,1090.1483,0.19999999,2540.688693,44.17415065246425
1,drag1,80,177.75313,1062.1702,0.19999999,3513.4240769999997,52.00466863132983
1,drag1,44,337.62704,893.398,0.19999999,3024.964846,50.72941264100889
1,drag1,57,543.2455,37.970337,0.19999999,3205.3406929999996,63.53461057124911
1,drag1,26,358.50208,225.82358,0.19999999,2329.343231,60.103663488128845
1,drag1,58,529.2649,230.81967,0.19999999,3085.331308,56.964703392631364
1,drag1,25,376.4771,26.978922,0.19999999,2503.9362309999997,63.82913889871646
1,drag1,64,546.4129,697.62683,0.19999999,1920.3086159999998,41.086614457763204
1,drag1,44,358.50208,879.31305,0.19999999,1788.5038459999998,66.13038998587109
1,drag1,38,342.5243,752.4122,0.19999999,3034.8936919999996,47.83629395466634
1,drag1,67,525.27045,879.31305,0.19999999,2901.648615,56.11890345370697
1,drag1,9,259.6394,527.5878,0.19999999,2261.806846,49.67033437468569
1,drag1,53,67.905685,703.45044,0.19999999,1703.3171539999998,49.06903022876708
1,drag1,16,256.64355,677.4707,0.19999999,3259.2336929999997,50.14076917553439
1,drag1,52,69.902916,520.59326,0.19999999,2993.973385,47.05220090491806
1,drag1,74,628.1276,502.60733,0.19999999,2788.5922299999997,65.98272161060983
1,drag1,17,459.362,697.45514,0.19999999,2988.900077,53.29179081886891
1,drag1,75,614.14703,690.4606,0.19999999,2439.316538,55.0566029860273
1,drag1,7,471.34537,509.60187,0.19999999,4211.8073079999995,46.823136289343026
1,drag1,70,646.10266,152.88055,0.19999999,3601.278,37.93501525850702
1,drag1,8,442.3856,329.7424,0.19999999,2752.709461,65.14567522345726
1,drag1,13,446.38004,163.87198,0.19999999,2210.006077,50.83267628703419
1,drag1,71,616.1443,321.74863,0.19999999,1938.7700009999999,57.1511202818138
1,drag1,78,642.1082,888.306,0.19999999,1919.9094619999998,54.41369644734748
1,drag1,83,462.35785,1074.1608,0.19999999,2148.2498459999997,50.78988806175783
1,drag1,21,462.35785,931.27246,0.19999999,2181.3549239999998,50.850709810734465
1,drag1,85,623.1345,1074.1608,0.19999999,1987.446923,43.375799177211476
1,drag1,19,470.34674,773.3958,0.19999999,2738.6207689999997,61.94624749071712
1,drag1,77,657.0874,983.2319,0.19999999,1829.2069999999999,57.12859722360351
1,drag1,76,651.0957,820.3591,0.19999999,2015.136385,60.88239189638651
1,drag1,23,472.34396,996.2217,0.19999999,2641.413615,58.157392691974735
1,drag1,15,439.38974,40.967995,0.19999999,3089.4854609999998,65.23657231076999
1,drag1,69,619.4919,212.83372,0.19999999,3142.4530769999997,52.255900680871065
1,drag1,11,461.35922,229.82045,0.19999999,3043.5547699999997,51.475795803292954
1,drag1,68,613.14844,37.970337,0.19999999,2572.2410769999997,77.23218617674505
1,drag1,21,445.38144,890.30444,0.19999999,2012.4529229999998,54.76023347827515
1,drag1,75,628.1276,733.427,0.19999999,1885.002385,44.83691125961593
1,drag1,17,437.39252,700.45276,0.19999999,2773.212923,50.031755234154176
1,drag1,78,637.1151,876.31537,0.19999999,2411.4245379999998,59.129039258530725
1,drag1,54,75.89459,787.3848,0.19999999,2445.729769,49.284919128858895
1,drag1,22,249.65326,965.2459,0.19999999,1382.953692,50.248540744310965
1,drag1,18,271.62274,800.3747,0.19999999,1919.668154,49.97206260802963
1,drag1,55,63.911236,993.22406,0.19999999,2205.124539,48.46434164840346
1,drag1,67,546.24133,898.2982,0.19999999,2512.153616,46.23360153900407
1,drag1,82,361.49792,1065.1678,0.19999999,1905.6073079999999,46.26198295870359
1,drag1,84,537.25385,1069.1647,0.19999999,2070.957231,58.071832654676975
1,drag1,44,375.47852,875.31616,0.19999999,2680.146077,56.857130332105754
1,drag1,38,359.5007,725.4332,0.19999999,2519.229539,43.86690523731053
1,drag1,45,187.73926,877.3146,0.19999999,3398.9209229999997,55.2669928833553
1,drag1,44,363.49515,874.31696,0.19999999,2592.145846,45.12427707349617
1,drag1,39,168.76561,685.4645,0.19999999,2321.4583079999998,50.0305828423474
1,drag1,56,69.902916,890.30444,0.19999999,1863.423539,47.97297818401252
1,drag1,81,258.64078,1073.1616,0.19999999,2502.988231,56.14793865374006
1,drag1,20,279.61166,888.306,0.19999999,2610.414154,51.90123714468269
1,drag1,79,75.89459,1068.1655,0.19999999,2082.468769,46.8303318574447
1,drag1,33,352.5104,389.69556,0.19999999,3392.832,60.444949341035944
1,drag1,35,156.78226,618.5168,0.19999999,2061.551,51.33659280621745
1,drag1,34,347.51733,613.5207,0.19999999,1721.236385,65.20205340032204
1,drag1,32,176.75452,424.6682,0.19999999,2061.145077,56.83155512444798
1,drag1,9,255.64494,490.6167,0.19999999,3139.955001,45.08389880997104
1,drag1,8,422.41333,337.73615,0.19999999,2446.7266919999997,63.837151623644665
1,drag1,6,253.64772,323.74707,0.19999999,2677.867692,54.99536477106822
1,drag1,7,441.38696,490.6167,0.19999999,2639.301,56.11481959438877
1,drag1,14,267.6283,68.94614,0.19999999,2001.521693,63.62105868890389
1,drag1,47,85.88072,228.82123,0.19999999,2034.763231,49.08387506265171
1,drag1,46,62.912624,37.970337,0.19999999,2537.8053849999997,69.794677734375
1,drag1,10,276.6158,206.83841,0.19999999,1987.3667699999999,50.24933201446102
1,drag1,4,450.37448,413.67682,0.19999999,4348.470847,50.21742853418405
1,drag1,73,655.09015,612.5215,0.19999999,1833.256923,41.663906098951514
1,drag1,72,640.3391,437.65808,0.19999999,2446.022384,49.80537084522065
1,drag1,3,459.362,627.50977,0.19999999,1953.741,44.1494851850005
