successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag1,2,291.595,463.6378,0.19999999,4778.504462,42.56587150443199
1,drag1,3,465.3537,606.5261,0.19999999,2474.845154,50.24384689312852
1,drag1,4,447.37866,445.65182,0.19999999,2896.698615,49.82195170789759
1,drag1,5,251.6505,626.51056,0.19999999,5255.510615,52.42268813241176
1,drag1,9,293.59225,541.5769,0.19999999,3153.268615,46.37594972686933
1,drag1,17,444.3828,677.04584,0.19999999,6218.757154,70.12689371929221
1,drag1,16,281.6089,700.45276,0.19999999,5468.560539,61.02970961732927
0,drag1,7,542.2469,47.96253,0.19999999,6396.255231,557.5147299436693
1,drag1,4,468.34952,458.6417,0.19999999,3495.2489229999996,59.72276436004975
1,drag1,10,274.6186,280.78064,0.19999999,4719.805077,46.248280408263106
1,drag1,2,267.6283,388.69632,0.19999999,5375.309154,56.138893372042304
1,drag1,11,477.33704,250.80406,0.19999999,7203.833693,57.83627811528498
1,drag1,4,462.35785,428.6651,0.19999999,448.289692,24.30067136413844
1,drag1,18,282.60748,745.41766,0.19999999,7277.918769999999,74.22062669791225
1,drag1,2,284.60474,451.64716,0.19999999,5868.534616,55.68498000045444
1,drag1,19,397.448,777.39264,0.19999999,7922.3956929999995,50.93904157866264
1,drag1,13,472.34396,158.87589,0.19999999,5697.543309,65.047592711196
1,drag1,6,267.6283,336.73694,0.19999999,4915.0714609999995,50.22932285560455
1,drag1,12,295.58948,158.87589,0.19999999,6968.232155,53.94071448780034
1,drag1,8,486.32455,288.77438,0.19999999,4689.300231,61.52260464274843
1,drag1,19,467.35092,812.36536,0.19999999,7537.098153999999,56.47791119089411
0,drag1,22,416.96112,945.99084,0.19999999,1166.834539,206.1181616655294
1,drag1,18,280.61026,805.3708,0.19999999,3115.316539,61.85873632714538
1,drag1,23,459.362,977.2365,0.19999999,5624.590308,43.57721581097035
1,drag1,14,282.60748,7.993755,0.19999999,5805.1633839999995,57.79181963824195
1,drag1,11,441.38696,251.80328,0.19999999,4509.492077,46.152261547165956
1,drag1,10,260.638,237.81421,0.19999999,3703.3623079999998,56.95307487386982
1,drag1,15,472.34396,61.9516,0.19999999,5575.710692,50.20378427643238
1,drag1,17,464.35507,716.177,0.19999999,5158.724924,58.952355320158134
0,drag1,20,673.0652,599.5316,0.19999999,6361.939692999999,527.0871225569342
1,drag1,21,453.37033,928.2748,0.19999999,7560.564692999999,45.68412342112062
1,drag1,16,287.60056,703.45044,0.19999999,6847.567231,51.82159987478376
1,drag1,24,162.77393,61.9516,0.19999999,3947.7783849999996,50.584617035064866
1,drag1,26,381.47018,249.80484,0.19999999,4571.110076999999,54.97284459571285
1,drag1,27,191.7337,250.80406,0.19999999,3855.7586149999997,46.35791966461782
1,drag1,25,371.48407,62.95082,0.19999999,3259.658693,52.87611481767336
1,drag1,66,566.2136,983.2319,0.19999999,7666.839615,47.8583587183406
1,drag1,41,386.46326,789.3833,0.19999999,3216.903077,53.47611005896806
1,drag1,42,345.5201,973.2397,0.19999999,4334.012693,56.331056588111394
1,drag1,65,572.20526,820.3591,0.19999999,3087.3362309999998,46.96765919795501
1,drag1,36,190.73509,544.5745,0.19999999,3621.708385,50.45928660912113
1,drag1,38,338.52982,674.4731,0.19999999,5185.922077,62.46559184342063
1,drag1,39,185.74203,708.44653,0.19999999,3133.437693,55.32325187463907
1,drag1,37,363.49515,541.5769,0.19999999,5879.111,54.93830679791098
1,drag1,16,272.62137,706.44806,0.19999999,3464.9606919999997,49.1507430648522
1,drag1,56,81.88627,891.30365,0.19999999,3126.585078,54.41009175259737
1,drag1,20,281.6089,897.299,0.19999999,4719.644846,48.17467662362532
1,drag1,53,63.911236,714.44183,0.19999999,2411.958,57.707506780607574
1,drag1,59,578.19696,139.89072,0.19999999,4691.9138459999995,45.95640974327746
1,drag1,30,371.48407,326.74472,0.19999999,3763.380308,55.268945311456605
1,drag1,29,380.4716,151.88135,0.19999999,4575.092615,48.908739930563314
1,drag1,60,571.20667,304.7619,0.19999999,5259.44477,47.59042707885901
1,drag1,33,376.4771,417.6737,0.19999999,3995.406385,60.59264248231406
1,drag1,62,541.2483,606.5261,0.19999999,4046.744539,59.15532395320944
1,drag1,61,559.2233,433.6612,0.19999999,3631.313308,51.826863291419386
1,drag1,34,395.45078,619.516,0.19999999,4545.051923,56.92031235059947
1,drag1,6,276.6158,355.72208,0.19999999,5055.2275389999995,62.83786600755992
1,drag1,48,88.876564,153.87978,0.19999999,3616.7136149999997,62.1285426147951
1,drag1,12,274.6186,134.8946,0.19999999,6325.582923999999,48.665526333467795
1,drag1,49,75.89459,342.73224,0.19999999,2326.760077,46.129438641005486
1,drag1,51,70.90153,584.54333,0.19999999,3027.801231,62.80256350421105
1,drag1,2,252.64911,438.6573,0.19999999,3229.3823079999997,50.09654202482809
1,drag1,5,291.595,579.54724,0.19999999,4015.537308,48.94314464679697
1,drag1,50,55.922333,426.66666,0.19999999,3584.5940769999997,53.855276762947824
1,drag1,37,349.51456,492.61514,0.19999999,4700.764999999999,50.106489707786444
1,drag1,64,570.20807,677.4707,0.19999999,3605.0963079999997,50.117024801894054
1,drag1,38,390.4577,708.44653,0.19999999,2525.3768459999997,51.21289297868896
1,drag1,63,551.23444,510.6011,0.19999999,4108.5750769999995,62.84116349142649
1,drag1,29,345.5201,145.88603,0.19999999,3182.2307699999997,51.71912827143865
1,drag1,31,171.76144,333.73926,0.19999999,4057.114384,53.18002986841533
1,drag1,28,189.73648,169.8673,0.19999999,3314.219154,48.189172386080685
1,drag1,30,361.49792,355.72208,0.19999999,3957.6693069999997,41.20729506654561
1,drag1,42,383.4674,1007.21313,0.19999999,4104.099615,52.47772224145024
1,drag1,40,191.73843,785.3864,0.19999999,4160.107154,58.82016140795311
1,drag1,41,342.721,827.35364,0.19999999,5325.135616,48.9803683126813
1,drag1,43,171.76144,981.2334,0.19999999,3983.771692,58.11752684974137
