index,MT,d
12--3,1.62409E+12,33.63783578
13--4,902,307.1719832
14--5,725,232.8180847
15--9,777,263.472224
19--17,698,139.1509205
117--16,787,335.2652905
116--7,677,196.6872319
17--4,623,274.0903325
14--10,686,76.8584783
110--2,680,286.1420515
12--11,759,256.1819047
111--4,699,364.487955
14--18,878,241.8626408
118--2,787,464.5047792
12--19,921,459.0629581
119--13,1025,474.1063526
113--6,1332,682.8875567
16--12,1074,256.9982347
112--8,2255,174.5005934
18--19,1290,296.5819864
119--22,1138,505.6059971
122--18,979,271.7537192
118--23,875,224.4512719
123--14,979,284.701153
114--11,1038,985.7336696
111--10,815,313.9082878
110--15,740,211.8968971
115--17,892,314.8681941
117--20,922,678.0893911
120--21,950,250.4347355
121--16,993,178.7545326
116--9,861,290.5614454
19--8,852,189.0661548
18--6,714,274.0066748
16--7,770,204.9593824
17--24,752,294.2049145
124--26,956,578.0145929
126--27,870,236.2677617
127--25,817,175.4486524
125--66,993,302.3286247
166--41,1053,974.7005852
141--42,768,292.5106711
142--65,943,221.3561767
165--36,833,297.9119248
136--38,796,498.8165907
138--39,892,305.767386
139--37,826,219.69487
137--16,707,279.7108409
116--56,886,262.1025383
156--20,834,220.4541023
120--53,815,231.9228126
153--59,787,346.3602168
159--30,984,692.4668119
130--29,837,284.6556616
129--60,1000,216.2214616
160--33,829,285.4036657
133--62,853,213.7081627
162--61,799,268.7723106
161--34,953,191.0623642
134--6,789,285.3658916
16--48,832,339.7578709
148--12,880,267.1857445
112--49,822,213.7125453
149--51,842,338.3929477
151--2,835,274.901416
12--5,901,278.6478858
15--50,867,181.8688769
150--37,1001,268.5065907
137--64,851,300.3355972
164--38,885,289.8862494
138--63,816,209.4860722
163--29,874,265.9508947
129--31,938,447.8601355
131--28,762,280.0073305
128--30,1083,182.1760341
130--42,910,277.8258814
142--40,868,659.4877655
140--41,801,268.3699529
141--43,980,223.8456747
143--45,920,246.2685516
145--82,823,67.94952611
182--80,879,288.1894782
180--44,929,188.9070617
144--57,834,263.5138837
157--26,1171,887.1175704
126--58,715,304.270006
158--25,839,237.8319239
125--64,805,282.6659286
164--44,1102,681.7908982
144--38,799,312.2169444
138--67,786,217.2808124
167--9,1091,283.7178755
19--53,951,485.5738841
153--16,1021,279.1079143
116--52,907,182.9673248
152--74,876,245.5912481
174--17,1209,520.4551585
117--75,875,241.8394769
175--7,1063,176.7783363
17--38,831,282.0755717
138--45,901,216.280277
145--44,912,277.1695075
144--39,1058,203.719522
139--14,955,264.1881298
114--47,1257,691.1094975
147--46,974,245.5575487
146--10,1058,163.1205396
110--22,1024,261.3777504
122--86,1063,776.733092
186--55,958,283.1563152
155--88,865,187.3936668
188--70,857,245.867997
170--8,1206,1089.810445
18--13,772,281.866946
113--71,740,231.5982033
171--78,945,266.8139089
178--83,1003,565.6145879
183--21,838,262.7615892
121--85,695,212.843111
185--19,844,285.3681458
119--77,715,367.1828122
177--76,771,271.1013766
176--23,731,231.2878926
123--15,806,291.986984
115--69,1315,978.5542332
169--11,767,272.1885826
111--68,751,204.9081215
168--21,975,288.9593132
121--75,880,864.7442741
175--17,832,284.1008871
117--78,860,194.8985334
178--54,956,264.8990781
154--22,834,576.965894
122--18,947,254.4146226
118--55,1020,161.8735352
155--4,969,284.6617584
14--73,804,663.6263457
173--72,832,303.4454088
172--3,894,190.0642972
13--90,894,249.0242971
190--77,875,568.5566631
177--23,914,259.9913058
123--92,806,171.7730998
192--67,1069,245.5575259
167--82,930,281.3689082
182--84,929,264.7422728
184--44,1175,190.2774604
144--38,833,271.2511331
138--45,953,216.663739
145--44,876,266.9206644
144--39,1002,184.0162877
139--42,132,7.065431355
142--87,1119,104.0387057
187--89,835,288.2206499
189--43,829,213.7032013
143--42,857,249.3842397
142--91,780,177.0040849
191--89,1088,257.8647391
189--66,813,182.9209661
166--56,978,262.9947697
156--81,915,449.4766659
181--20,882,223.3246305
120--79,1005,192.514346
179--33,1450,278.6650382
133--35,960,731.3186939
135--34,935,290.8245368
134--32,789,215.79538
