index,MT,d
12--3,1624262210452,40.18680799929842
13--4,660,284.6556400342429
14--5,696,201.14324936803607
15--9,716,267.75171559598385
19--17,709,106.93515712220541
117--16,631,289.5995790901628
116--7,711,230.69910306571097
17--4,639,275.5272952478587
14--10,688,95.35035930151902
110--2,798,259.39510649439296
12--11,797,180.96496583324546
111--4,653,269.8265963244279
14--18,659,196.67013861175766
118--2,796,426.10585835499586
12--19,786,367.7466057551478
119--13,723,410.7421104445456
113--6,753,664.4996550880273
16--12,796,278.4323446165939
112--8,812,208.70189470540464
18--19,726,269.8021446780054
119--22,791,454.6547067869279
122--18,908,284.72235253758555
118--23,843,175.2081496559665
123--14,710,256.5145848691815
114--11,1080,950.2053840478468
111--10,725,267.7101442698122
110--15,790,194.16595889683148
115--17,805,257.81483662266186
117--20,792,668.6038274107859
120--21,810,276.4327477160785
121--16,676,193.79533750997345
116--9,815,272.70254288732116
19--8,726,184.8555908203125
18--6,679,272.8746616670503
16--7,809,183.96472062007706
17--24,699,279.3469156050078
124--26,1018,581.5307202453068
126--27,718,285.108584007538
127--25,832,179.9280247611492
125--66,780,250.77361099949974
166--41,1473,983.6460196361388
141--42,724,276.97126894387486
142--65,696,171.0531751173059
165--36,926,274.86525047818384
136--38,961,497.450672413754
138--39,706,281.2079551047235
139--37,751,187.86952555707214
137--16,662,256.342785572603
116--56,705,201.8661292883813
156--20,893,264.8790138554162
120--53,726,165.8781564598336
153--59,817,260.1633462351275
159--30,875,734.9870764685447
130--29,800,273.513503339405
129--60,770,208.1277143797383
160--33,679,282.6287403316128
133--62,705,217.98177300972472
162--61,607,261.35062712856177
161--34,678,192.22398864039977
134--6,729,273.71756379145233
16--48,826,310.4386517020182
148--12,966,292.6364012491335
112--49,781,192.04849434375774
149--51,797,274.77588458553913
151--2,780,264.8853737583877
12--5,690,250.04936921288902
15--50,621,189.44559773349286
150--37,761,280.5730514517968
137--64,697,319.0018670247508
164--38,697,247.933272524424
138--63,661,205.77498497843493
163--29,622,258.4579310625733
129--31,851,470.10218010531736
131--28,758,267.7101442698122
128--30,751,170.713492988401
130--42,662,262.05959900850473
142--40,879,658.8193204928956
140--41,780,267.37868484721923
141--43,898,196.81810909916362
143--45,940,286.8030134663413
145--82,862,100.81378894871733
182--80,698,252.93641789220513
180--44,909,184.35508918552952
144--57,777,274.78696914310825
157--26,1099,871.8235099905008
126--58,758,264.8200286212456
158--25,798,168.7922458853022
125--64,848,295.4218563899394
164--44,754,720.4541424956413
144--38,724,267.8110694833834
138--67,678,196.90950673909524
167--9,694,275.09579529087966
19--53,770,466.0876382221648
153--16,856,284.0701645547389
116--52,716,197.97770758856663
152--74,997,256.90588408278126
174--17,726,561.3485963226457
117--75,688,242.63806130429245
175--7,740,187.70325336558685
17--38,734,258.5015819622093
138--45,644,169.4284694864856
145--44,705,291.1862441291151
144--39,689,202.78000104721522
139--14,807,279.21200495426393
114--47,1080,666.3044812665421
147--46,776,273.0217049575521
146--10,898,188.87620813537578
110--22,687,273.4315108015356
122--86,785,768.4413088850005
186--55,833,243.5178926894185
155--88,822,172.15559651592343
188--70,779,250.77351494313973
170--8,862,1095.6419155248886
18--13,688,261.3629411728033
113--71,743,211.4362728217346
171--78,706,276.45835236503325
178--83,924,559.6350393570237
183--21,745,281.1824180104679
121--85,687,146.37261197356767
185--19,939,223.4165847985088
119--77,678,303.50816935591763
177--76,757,234.54075588319625
176--23,669,149.21819389535477
123--15,708,250.7611355189376
115--69,1164,945.4139671395602
169--11,5031,294.7193446875195
111--68,714,202.76144569196447
168--21,715,258.52530605846823
121--75,857,866.401687519089
175--17,661,266.29748569806287
117--78,680,174.78300200855156
178--54,743,246.79782263560318
154--22,965,590.7691831778724
122--18,861,274.06289538520633
118--55,781,190.0643603338184
155--4,878,259.9704386938083
14--73,871,679.8031220528719
173--72,666,281.1394078933583
172--3,691,185.89768679713595
13--90,691,258.7743470513995
190--77,854,546.6292692696579
177--23,865,281.9322363386322
123--92,838,195.98307439710456
192--67,839,270.5354196508035
167--82,776,291.05296650630385
182--84,775,284.03241437263745
184--44,818,169.0050555171705
144--38,725,271.54481083876124
138--45,778,180.40197559135225
145--44,786,260.12731839963595
144--39,718,194.30986154156648
139--42,778,253.73683534706848
142--87,685,338.7724147312078
187--89,827,277.84412216081694
189--43,639,209.94666461089
143--42,917,256.1695512696357
142--91,678,203.02479173487617
191--89,787,233.73625585932794
189--66,732,203.80157292767964
166--56,557,266.18451873621296
156--81,878,511.81151390503385
181--20,725,250.77787991562226
120--79,781,192.85970696497287
179--33,825,277.70798076993134
133--35,994,732.3402085289878
135--34,752,261.47826818066545
134--32,724,189.9494822835973
