index,MT,d
12--3,1624345972810,72.24633329547838
13--4,838,242.49993773105993
14--5,634,206.87699928166896
15--9,745,265.3016534251962
19--17,767,67.41409176615744
117--16,682,268.2860871431346
116--7,690,185.80923054156202
17--4,671,260.1856993885118
14--10,668,84.0828304400383
110--2,763,255.71254182666885
12--11,717,169.05276414619905
111--4,839,277.63282773316564
14--18,630,211.9638555747746
118--2,711,431.85677888760364
12--19,780,378.52906726335357
119--13,750,433.6802111755948
113--6,1506,673.5989862896624
16--12,762,290.60782831103904
112--8,1140,186.45743892848324
18--19,722,260.9767849529908
119--22,782,490.0663588123249
122--18,871,273.3161147350621
118--23,877,179.19722719246872
123--14,918,272.011536614074
114--11,1524,980.3831822286048
111--10,704,292.42494210228097
110--15,717,213.81770496327064
115--17,1041,260.4955730401249
117--20,873,655.5152987200846
120--21,811,282.589254420798
121--16,732,196.8181109583724
116--9,797,257.82423277430615
19--8,789,208.89653409152615
18--6,818,246.67821867871166
16--7,748,214.53674019618367
17--24,744,333.4371383761857
124--26,1059,595.7258705067533
126--27,659,287.8539866360856
127--25,760,178.38390789875635
125--66,1104,250.86648813035265
166--41,932,960.9190459305863
141--42,748,250.86652994483455
142--65,775,175.09415741399863
165--36,843,267.7284281771341
136--38,796,469.39584939629464
138--39,753,262.1019736759884
139--37,822,203.01621807489627
137--16,808,285.85432863998267
116--56,812,215.20462620628007
156--20,902,250.24600063989635
120--53,858,182.60649204738579
153--59,1058,245.14702119281077
159--30,1141,745.4393409329024
130--29,690,260.6835344167999
129--60,716,191.69551482643095
160--33,1428,301.8844900490858
133--62,769,282.01691551507554
162--61,700,302.05089263473815
161--34,921,170.97150744891556
134--6,1118,279.7957221717549
16--48,875,288.870049587432
148--12,1212,289.58564652878226
112--49,767,195.7919186252632
149--51,985,271.5248519359876
151--2,883,310.75883716970725
12--5,928,278.30260524641324
15--50,736,192.3588232715039
150--37,888,284.383149850452
137--64,712,305.1213857835419
164--38,739,296.02105215481447
138--63,807,191.83458312165928
163--29,746,216.59281194708012
129--31,791,459.02669772758526
131--28,731,255.95172146578935
128--30,834,172.96873712820755
130--42,676,271.98900531829986
142--40,883,656.6154071067944
140--41,799,293.7394502011047
141--43,754,208.94918441607766
143--45,789,255.39959755721588
145--82,869,61.34951925664458
182--80,874,278.9386583106303
180--44,883,193.665134210054
144--57,838,267.61638077062554
157--26,1166,855.4290769350092
126--58,839,269.24743572381897
158--25,804,209.90147554789152
125--64,1875,284.1805246148446
164--44,857,752.0217827851961
144--38,985,261.5833581365011
138--67,2592,198.75317743598757
167--9,745,267.0133654733736
19--53,831,491.3188710981857
153--16,940,281.90539909880994
116--52,948,202.7184600830078
152--74,909,277.23704052174855
174--17,933,590.1802978515625
117--75,1010,245.10159207904968
175--7,812,176.76578290403228
17--38,695,294.3099755651907
138--45,992,280.66958097179275
145--44,721,272.6990446324716
144--39,729,202.8759771753595
139--14,745,291.73783887344035
114--47,1334,664.3011917541604
147--46,836,263.20834763458714
146--10,1092,180.8697309867745
110--22,686,274.10776538425
122--86,821,741.5929194377577
186--55,948,273.76490532108994
155--88,811,166.17069426017713
188--70,855,248.7710745583986
170--8,1404,1087.1053462336213
18--13,629,256.4021388765251
113--71,719,181.92645714504994
171--78,596,274.80793909224997
178--83,954,558.6207274008631
183--21,705,278.30257305223455
121--85,678,193.04213464668481
185--19,970,247.35925900559914
119--77,738,320.5316526089813
177--76,1126,244.0485710743028
176--23,735,160.9858058864857
123--15,754,232.76507355616462
115--69,1255,933.4252636360208
169--11,660,253.69052108745294
111--68,655,192.73233032226563
168--21,880,260.4752532072095
121--75,851,855.9605331458635
175--17,696,248.4473991155425
117--78,723,185.80921528828986
178--54,851,246.52066380054757
154--22,938,584.6858186209862
122--18,746,267.1758390669244
118--55,732,177.90587140900632
155--4,792,271.64070094301474
14--73,784,695.2887471774311
173--72,698,262.7953865141664
172--3,667,182.55845376888126
13--90,701,259.91597737956624
190--77,966,581.2867805001761
177--23,837,273.047528375274
123--92,761,183.45627536969258
192--67,962,240.13038585352766
167--82,995,283.18949561241004
182--84,776,291.72501783435183
184--44,871,199.76741825411668
144--38,938,258.15524331784087
138--45,1396,187.85321044921875
145--44,836,294.69262847361153
144--39,768,225.86567076476936
139--42,889,289.60388483800557
142--87,771,348.5691080498211
187--89,879,257.23440457954456
189--43,856,178.51101634919274
143--42,760,269.0480066713304
142--91,809,204.72542223853233
191--89,965,250.76107059495902
189--66,769,195.88609594196535
166--56,831,283.3100245298026
156--81,990,500.6429250902239
181--20,786,255.72782628669637
120--79,800,188.30130907556142
179--33,871,251.4634979537807
133--35,978,691.7898442017619
135--34,759,275.0858565514403
134--32,688,191.73629198389398
