index,MT,d
12--3,1624092993695,50.50349899048059
13--4,764,264.174239655549
14--5,648,204.63175971557706
15--9,712,310.6578085434179
19--17,653,75.12511027121444
117--16,668,275.8827811833878
116--7,680,233.15909762512177
17--4,596,284.90105275483165
14--10,651,117.92481205461905
110--2,689,223.2072016872204
12--11,679,197.09935963501025
111--4,649,276.32700217888504
14--18,609,234.81865178837054
118--2,705,383.3862675235723
12--19,761,381.99561561989657
119--13,658,412.4063260569619
113--6,721,613.2536165603888
16--12,681,285.9683977710565
112--8,742,210.75598600006535
18--19,652,309.7276980282406
119--22,706,409.68117927145573
122--18,853,317.6558420057818
118--23,707,170.02042752364653
123--14,818,261.1357476085551
114--11,1030,904.7405430640807
111--10,728,248.67053439008797
110--15,725,188.14951019730393
115--17,820,240.56231641899066
117--20,676,664.5144578846996
120--21,654,271.5613343091053
121--16,711,195.7383511934123
116--9,635,245.12434639451035
19--8,615,192.47846976902545
18--6,569,283.62165825402445
16--7,642,164.81961820491227
17--24,621,310.0891106720887
124--26,871,580.5965605994553
126--27,686,257.30629647644764
127--25,730,234.61571337489514
125--66,659,269.83513107724787
166--41,907,953.0497774365646
141--42,680,293.2835647115491
142--65,852,197.9600998697396
165--36,815,250.72909267218847
136--38,667,495.84029263264193
138--39,624,321.0815639532419
139--37,680,188.8234593960386
137--16,628,261.02586529257155
116--56,643,216.33132952951044
156--20,784,244.65600451687212
120--53,703,189.9007325640695
153--59,746,293.92680866859223
159--30,832,730.1249099890373
130--29,746,239.82430880063043
129--60,1153,184.17218695055558
160--33,661,286.11364413401543
133--62,642,247.3947504829107
162--61,578,297.00772156058673
161--34,699,187.02470736461106
134--6,613,242.63806130429245
16--48,641,305.5119476049791
148--12,727,242.41565134224302
112--49,679,195.16229987230673
149--51,706,258.3469381703476
151--2,733,292.78656761802296
12--5,679,274.7869800672515
15--50,635,202.841552734375
150--37,674,269.3762023156329
137--64,627,290.82302056326427
164--38,633,247.4228469684567
138--63,662,193.23397172725964
163--29,605,259.49761312877666
129--31,606,433.85725613066217
131--28,621,278.83513007508463
128--30,738,183.85908096560098
130--42,609,300.702927837233
142--40,724,609.0364347714225
140--41,604,239.07363771144824
141--43,662,153.4268560625875
143--45,761,262.46279411340544
145--82,633,96.11199336895588
182--80,729,256.157588430782
180--44,800,160.67850325929746
144--57,606,235.23575686021695
157--26,952,878.7037260592687
126--58,797,295.45074748513133
158--25,624,184.65655911933965
125--64,780,234.56369740616896
164--44,700,740.0748962963719
144--38,639,267.4205251341069
138--67,583,226.2558981848233
167--9,690,254.2010026157157
19--53,613,458.78139125201324
153--16,661,230.26697744761475
116--52,651,203.77832609682264
152--74,710,232.47678186756812
174--17,620,469.36516262103737
117--75,691,222.82042172029463
175--7,622,168.82538696000475
17--38,670,253.52474911484137
138--45,625,213.92265618909002
145--44,751,272.20974523564416
144--39,616,201.7136192098473
139--14,651,283.48008807215325
114--47,831,666.5318772554543
147--46,778,293.92681919243
146--10,842,146.55439628189632
110--22,752,192.8326629606911
122--86,800,720.4814268078136
186--55,799,217.85306290615705
155--88,733,140.18146238594414
188--70,734,256.9982246906016
170--8,1329,1032.216021624202
18--13,579,220.63720259399298
113--71,633,279.49666718318633
171--78,751,294.0074292395307
178--83,690,531.7197678357578
183--21,647,294.92621422146755
121--85,557,187.98322506542897
185--19,777,257.12517033813253
119--77,651,321.8208788074279
177--76,725,277.66070824174477
176--23,642,207.31756732713401
123--15,649,265.1427603443639
115--69,1064,934.8511541174948
169--11,856,198.6383797100409
111--68,614,192.9911479810385
168--21,1373,225.41421305579615
121--75,769,844.3872828902723
175--17,728,288.90231069360334
117--78,660,206.69722870215045
178--54,779,236.75445746875465
154--22,752,573.8951565604854
122--18,807,253.7480005163337
118--55,660,170.0203648410595
155--4,818,258.3469575279457
14--73,775,671.7109915670529
173--72,618,238.16498191200114
172--3,633,192.8869203697304
13--90,602,260.49579189226364
190--77,811,523.8660844862783
177--23,807,230.30343699140832
123--92,750,178.38393574425058
192--67,754,237.4010858722462
167--82,686,293.21926877306754
182--84,690,273.3494315475093
184--44,621,193.93957439500912
144--38,692,260.0765635648751
138--45,686,196.08241857506428
145--44,683,280.4264567543919
144--39,645,208.18205648985455
139--42,675,264.79782127216225
142--87,665,333.32088200239866
187--89,799,274.7676855708544
189--43,715,201.96717838173595
143--42,733,251.81709664055361
142--91,643,175.04270958718524
191--89,760,262.30030237955157
189--66,732,213.70552229006458
166--56,593,264.38442611159644
156--81,705,498.0619592654575
181--20,671,283.38579991562506
120--79,670,184.98263005240972
179--33,678,259.96522382621356
133--35,770,639.1717192007338
135--34,725,171.03117898540796
134--32,635,206.79983031031483
