index,MT,d
12--3,1624178975990,65.14573203722337
13--4,1338,289.8131771094663
14--5,3468,228.82125854492188
15--9,1128,318.56532863808343
19--17,900,95.80071758175308
117--16,993,264.174239655549
116--7,1002,190.0545633917357
17--4,1131,253.5837640268912
14--10,1137,104.93346267574304
110--2,1137,270.5339489033498
12--11,1178,177.86105346679688
111--4,1207,259.22749126874487
14--18,1129,194.35206416833958
118--2,1042,419.5921779698689
12--19,850,367.72491129406274
119--13,922,407.9425536108789
113--6,1024,661.2565976920339
16--12,881,294.40618939917965
112--8,1004,199.9660907103419
18--19,1020,296.9430316310493
119--22,984,459.7721412270756
122--18,919,262.053725912855
118--23,864,207.9552275937511
123--14,997,287.50437854799696
114--11,1300,975.3347174082776
111--10,903,273.69114941240133
110--15,1051,192.0485104508345
115--17,1082,268.53802945586494
117--20,1074,663.5004159917667
120--21,1076,259.2710974854796
121--16,985,177.16073017721789
116--9,1009,268.44541526396137
19--8,1237,184.12732112246167
18--6,1729,279.72338938314226
16--7,1220,174.6870575718217
17--24,1176,243.7406068527153
124--26,1268,550.5999713210449
126--27,1100,269.85793194466606
127--25,1078,197.81627566157675
125--66,1012,267.90618494197946
166--41,1228,955.499182469485
141--42,983,282.0782463642307
142--65,1159,210.92038671233922
165--36,1380,281.25637945701914
136--38,1319,470.4974513971298
138--39,1329,261.9792920844015
139--37,1500,195.75110360459598
137--16,1420,266.20709748494113
116--56,1318,215.1355166867025
156--20,1373,278.64787443355834
120--53,1473,199.9249882729685
153--59,1374,264.2027671180819
159--30,1556,751.5355488651768
130--29,1508,275.6561950362582
129--60,1136,202.86364447606005
160--33,1468,268.4979597745018
133--62,1065,189.414044100639
162--61,1109,264.5573348756341
161--34,1130,209.07547506753508
134--6,1182,288.20244603341564
16--48,1149,289.0886125201702
148--12,1257,284.75127205796525
112--49,1262,188.74051421869598
149--51,1140,274.0628847527634
151--2,1206,280.82503146672184
12--5,1191,275.983614438989
15--50,1274,187.5359171576226
150--37,1243,266.4430490455587
137--64,1270,317.01583056836535
164--38,1159,265.9680333204122
138--63,1327,181.7503052776091
163--29,1175,255.79708610961055
129--31,1320,419.98313888096635
131--28,1343,267.12606609344704
128--30,1247,181.03507622797835
130--42,1533,269.99179458043614
142--40,1343,663.9511559804894
140--41,1202,269.9971898394959
141--43,1210,204.73761428056244
143--45,1305,274.4908148154738
145--82,1270,90.9782330382352
182--80,1372,286.03408029645806
180--44,1392,213.76157904154664
144--57,1156,272.4160713077349
157--26,1459,887.8495349396113
126--58,1231,271.98900531829986
158--25,1187,162.80152641668806
125--64,2441,261.736045954281
164--44,1320,681.7044460373393
144--38,1145,250.30664261767419
138--67,1465,173.89000504072015
167--9,1196,252.37961459274294
19--53,1196,460.17299569186537
153--16,1192,269.9500099975358
116--52,974,195.75110266992925
152--74,867,267.7035067329231
174--17,829,563.572148715557
117--75,742,252.5122434092445
175--7,954,172.78604575606695
17--38,919,253.8385287298973
138--45,946,235.76057142712364
145--44,901,242.65432821111654
144--39,696,171.11620541255417
139--14,1042,259.33863340884017
114--47,983,684.5777014201745
147--46,951,247.6264746290432
146--10,896,166.89651912973545
110--22,814,248.90379896650668
122--86,1089,732.8077281084168
186--55,1019,300.29049358770175
155--88,918,186.95004414752097
188--70,1561,250.77360006225297
170--8,1084,1117.1672274861899
18--13,1007,279.1499911303612
113--71,993,204.84241529475918
171--78,955,270.43975924754506
178--83,903,538.7150232319626
183--21,1087,280.97946962462765
121--85,870,232.89526250075403
185--19,829,296.022591108373
119--77,924,351.69596512099224
177--76,738,279.08090415648644
176--23,887,115.91378639154497
123--15,659,219.7428926140816
115--69,807,925.3115872237626
169--11,712,223.2072016872204
111--68,658,172.74921653091388
168--21,550,268.41393438630075
121--75,760,887.459509025928
175--17,528,293.49739231279574
117--78,553,204.77665408816787
178--54,602,235.92283662235852
154--22,774,544.2415627480868
122--18,688,279.79572109532194
118--55,552,192.10988047863685
155--4,600,263.5988908536697
14--73,612,612.2206571097212
173--72,630,245.26550972544808
172--3,533,125.68240105197172
13--90,519,276.27379031801223
190--77,683,542.907699081365
177--23,612,276.3425313247023
123--92,567,229.05005143448585
192--67,924,272.68526614483824
167--82,547,254.7265671622038
182--84,632,254.90484383956368
184--44,552,213.48362163700304
144--38,595,292.5529181408862
138--45,578,197.845458984375
145--44,566,281.8391200680467
144--39,533,169.95231757851616
139--42,598,232.48645156130834
142--87,568,317.7424101985769
187--89,597,286.8568378703439
189--43,595,201.967169181015
143--42,595,268.7018226680646
142--91,566,179.97914372435122
191--89,682,248.94899061015704
189--66,1847,192.79704442953147
166--56,620,292.02165962844555
156--81,731,478.65425275116144
181--20,561,225.4161688484417
120--79,540,200.7426136130448
179--33,570,268.5044919804641
133--35,578,686.6797328021685
135--34,586,226.09919668662184
134--32,524,150.41203447373724
