index,MT,d
12--3,1624255557761,78.88253908455685
13--4,622,231.3317280178419
14--5,671,208.30488953544648
15--9,650,330.4002776655999
19--17,654,68.53872354638028
117--16,586,273.7731993897454
116--7,626,188.86741781922885
17--4,614,280.3353286681923
14--10,633,94.32728337179923
110--2,695,286.44320157700287
12--11,589,153.06189299434334
111--4,705,239.45086839221275
14--18,591,215.3698466787361
118--2,649,385.3379895020166
12--19,698,324.7865632334387
119--13,577,415.5935320737683
113--6,751,645.6471104178107
16--12,653,293.42792967460474
112--8,707,149.1547060135622
18--19,611,333.12731136166764
119--22,621,511.11742505514894
122--18,576,280.0652303194571
118--23,571,156.3995728116282
123--14,590,234.3526374702856
114--11,902,957.9942943502665
111--10,642,310.238494664794
110--15,643,236.67338931030662
115--17,767,258.7556925261741
117--20,665,667.5587365310968
120--21,581,259.4369648896604
121--16,579,198.84705622052977
116--9,650,250.82754793251777
19--8,579,138.20170596005363
18--6,819,311.4076888933619
16--7,647,209.97163229905013
17--24,653,280.8899327350617
124--26,895,528.7468615808923
126--27,672,261.0548447874184
127--25,660,203.60551194231377
125--66,917,253.30358663622954
166--41,667,907.3121786650114
141--42,647,248.54284832582644
142--65,574,175.34469640848593
165--36,1013,242.3647615614941
136--38,688,479.0893124157911
138--39,616,265.66087124420454
139--37,578,199.84505062743094
137--16,642,269.8249082028928
116--56,598,176.33774338486234
156--20,587,245.80967322058046
120--53,663,127.60350528399672
153--59,648,212.49221986380152
159--30,1108,742.3254756826417
130--29,659,285.1614004868229
129--60,659,204.25252088888365
160--33,703,278.42832541287333
133--62,615,163.10276916283678
162--61,641,284.291500265022
161--34,657,150.36115241129954
134--6,651,258.5777837776462
16--48,679,241.0060490915899
148--12,709,315.05377135677134
112--49,665,191.6449703186157
149--51,614,226.13978023933691
151--2,651,241.40953835263915
12--5,755,186.3616359359004
15--50,608,170.91316946649255
150--37,685,253.05713583931825
137--64,917,281.15149992657183
164--38,642,257.71427012870816
138--63,721,167.90798090698118
163--29,709,235.27062833178078
129--31,892,454.1390005113493
131--28,625,247.6542824089891
128--30,606,129.14421506892594
130--42,770,247.91146094652623
142--40,767,624.6086845391509
140--41,661,222.3252109208871
141--43,763,199.73260822726095
143--45,609,269.9972202274074
145--82,566,74.60885765162352
182--80,596,246.94971613488505
180--44,595,181.28948621560178
144--57,699,267.8234058376724
157--26,1319,849.4741720995131
126--58,608,212.82239801207308
158--25,625,191.90026975136982
125--64,741,251.4635294150531
164--44,761,656.2604181056075
144--38,613,295.3078149898612
138--67,635,214.16846056966637
167--9,841,270.5379571214286
19--53,748,449.75326549227356
153--16,618,233.69771712901326
116--52,658,161.7727465634166
152--74,698,244.39701507804256
174--17,794,534.2579345703125
117--75,653,248.6461904566824
175--7,687,213.29409573791372
17--38,699,275.84334276472396
138--45,649,189.13233668167499
145--44,608,262.05284388996444
144--39,776,168.839560335839
139--14,606,223.75329989970712
114--47,920,682.4157321482279
147--46,623,267.09252185947906
146--10,697,117.5450134008632
110--22,919,297.4848164871536
122--86,752,715.8096836054522
186--55,716,273.3786728627045
155--88,641,170.44166030350254
188--70,634,216.14563913850603
170--8,1261,1086.678919268228
18--13,642,263.7457598217486
113--71,633,219.82826232910156
171--78,937,291.36350313678173
178--83,672,551.58355543189
183--21,642,269.34572077450764
121--85,651,159.92501447319836
185--19,769,262.7632667905876
119--77,690,341.64340669170986
177--76,713,262.7633316496686
176--23,668,177.87229749826835
123--15,714,255.822741658008
115--69,1410,973.6130366514839
169--11,769,257.8937683349992
111--68,644,160.2422369530371
168--21,685,256.7284279759452
121--75,747,912.8706846459086
175--17,611,281.1261793557082
117--78,634,190.27754053411843
178--54,615,247.3243616077825
154--22,764,525.9193721506615
122--18,739,240.42606333879198
118--55,733,189.11625575658337
155--4,640,264.17598201251514
14--73,1030,659.4772365565315
173--72,754,269.39074977339106
172--3,622,210.37005667847646
13--90,689,279.79567795037497
190--77,2033,573.8031260147274
177--23,748,276.49691769907605
123--92,662,208.71014404296875
192--67,725,241.22761740257567
167--82,726,282.185318066505
182--84,730,250.23400808418955
184--44,735,180.6297875891836
144--38,697,270.7422126950481
138--45,664,171.54971822961616
145--44,623,259.3010570376871
144--39,1154,225.25601273441703
139--42,688,272.05678569840774
142--87,751,301.8986571133337
187--89,779,282.5608743276523
189--43,818,206.77327296263175
143--42,721,251.46350952757416
142--91,698,189.73648071289063
191--89,753,250.58548394406876
189--66,697,157.79350846577856
166--56,1187,267.75974820505735
156--81,793,456.25642177455205
181--20,711,243.38287118296932
120--79,643,157.74986054456463
179--33,695,272.9765650046216
133--35,1091,696.332228532747
135--34,640,259.34809231851494
134--32,676,219.6074327319334
