index,MT,d
2--3,22,0
3--4,607,343.2948239
4--5,298,222.3610718
5--9,426,329.5306778
9--17,196,96.94483059
17--16,306,292.8281299
16--7,253,194.1659305
7--4,354,339.6708127
4--10,254,140.8002544
10--2,442,310.792152
2--11,200,133.7376946
11--4,435,382.1869083
4--18,218,101.3537952
18--2,417,359.6035235
2--19,458,386.9879163
19--13,343,296.5519359
13--6,844,694.3613161
6--12,369,268.1226654
12--8,337,231.3052028
8--19,274,207.7099054
19--22,419,397.7093604
22--18,341,274.3383614
18--23,244,233.8765283
23--14,226,202.748353
14--11,1343,978.6181101
11--10,281,158.2018253
10--15,379,200.8803359
15--17,408,301.9437728
17--20,630,635.7866549
20--21,390,251.5634336
21--16,317,241.7387231
16--9,354,266.300023
9--8,305,205.5777225
8--6,461,330.5919279
6--7,328,171.8079416
7--24,328,261.1836869
24--26,829,569.5404847
26--27,227,197.6721412
27--25,326,172.4141617
25--66,373,321.350128
66--41,888,908.3700844
41--42,390,246.5134073
42--65,300,189.8753813
65--36,435,323.1444972
36--38,549,473.2087073
38--39,234,174.8715923
39--37,301,158.7920564
37--16,425,353.3026426
16--56,314,212.2477671
56--20,268,201.9713513
20--53,228,167.8146025
53--59,344,244.7856238
59--30,820,841.6842195
30--29,300,196.03542
29--60,310,201.5429519
60--33,335,221.7945378
33--62,288,183.3477238
62--61,364,268.7025983
61--34,295,193.1619315
34--6,344,248.8954069
6--48,399,306.8821702
48--12,354,295.5162354
12--49,328,228.0574395
49--51,299,286.9173656
51--2,354,306.2703152
2--5,370,307.3277246
5--50,246,168.9927085
50--37,348,286.5189599
37--64,337,257.1288456
64--38,298,247.6423326
38--63,304,182.6353407
63--29,382,305.3414134
29--31,490,449.8733147
31--28,335,273.6697745
28--30,350,213.8352785
30--42,350,251.254723
42--40,776,600.6935978
40--41,391,305.2165279
41--43,209,178.3739484
43--45,345,257.7741383
45--82,181,126.9165335
82--80,264,202.7295156
80--44,226,173.8046316
44--57,313,308.2797261
57--26,834,900.7711201
26--58,198,151.777973
58--25,301,194.7320863
25--64,301,242.6099076
64--44,625,565.8665195
44--38,317,213.9865318
38--67,228,183.930341
67--9,371,227.1239821
9--53,416,448.9885035
53--16,309,238.6362632
16--52,278,185.0134338
52--74,359,255.7074788
74--17,770,533.2603357
17--75,318,197.5154935
75--7,308,203.7563073
7--38,333,255.938044
38--45,246,179.9321334
45--44,228,212.2845733
44--39,282,179.4652576
39--14,326,293.1325749
14--47,716,708.1822643
47--46,298,285.3615346
46--10,308,217.8320925
10--22,262,251.9274709
22--86,750,735.4423646
86--55,191,140.7700068
55--88,530,201.0440081
88--70,480,197.2852912
70--8,1076,1160.291274
8--13,304,267.4579579
13--71,291,216.8328813
71--78,351,244.5459016
78--83,483,403.8624561
83--21,243,214.7313107
21--85,239,218.8494853
85--19,211,183.9220374
19--77,305,360.8585629
77--76,301,219.6833875
76--23,272,262.3992385
23--15,340,258.8407757
15--69,1120,975.3244996
69--11,345,241.5684079
11--68,241,131.9165796
68--21,381,310.084674
21--75,1023,808.5256127
75--17,479,310.0919592
17--78,424,217.7801702
78--54,481,211.0717015
54--22,754,601.6784743
22--18,425,249.4153444
18--55,326,220.1025278
55--4,328,197.0790963
4--73,810,694.3670715
73--72,445,230.4124525
72--3,403,202.8440108
3--90,446,302.8794494
90--77,659,508.5237138
77--23,390,290.3510663
23--92,281,183.0764257
92--67,264,185.067486
67--82,556,364.4033211
82--84,399,252.8951984
84--44,318,190.7586624
44--38,455,297.5166419
38--45,386,217.1086952
45--44,418,281.1528951
44--39,400,221.8024057
39--42,464,291.7199191
42--87,604,332.4698792
87--89,445,278.3589185
89--43,318,165.8613138
43--42,460,291.5159259
42--91,395,208.7687208
91--89,580,236.8547143
89--66,318,179.3434781
66--56,77,26.14452611
56--81,452,393.640377
81--20,472,204.3817096
20--79,350,191.8734872
79--33,453,213.3318
33--35,945,735.2114098
35--34,578,251.4972284
34--32,377,189.7785742
