index,MT,d
2--3,26,0
3--4,224,301.6782185
4--5,279,318.7900506
5--9,262,350.99797
9--17,233,183.4866302
17--16,225,306.8230378
16--7,291,297.707715
7--4,217,495.9285502
4--10,186,166.4585348
10--2,295,347.5232416
2--11,163,256.8168514
11--4,191,400.1000395
4--18,175,238.7370411
18--2,523,574.5745117
2--19,225,417.1721289
19--13,296,507.8242599
13--6,532,778.4559612
6--12,288,376.3052261
12--8,288,388.1855785
8--19,296,442.9762197
19--22,305,594.8708924
22--18,334,399.5493233
18--23,171,278.101152
23--14,242,386.5474471
14--11,1118,1055.003113
11--10,292,286.7775252
10--15,354,289.0879039
15--17,341,422.7213445
17--20,804,847.488642
20--21,463,343.9930533
21--16,289,306.0774331
16--9,386,414.018459
9--8,251,349.6200567
8--6,281,494.3316394
6--7,306,315.6428237
7--24,377,364.5188867
24--26,767,654.4877134
26--27,279,353.1739108
27--25,336,286.0069346
25--66,350,455.1729445
66--41,1275,1091.025191
41--42,316,345.4008013
42--65,241,265.2748313
65--36,315,437.6519912
36--38,629,554.4522505
38--39,261,333.4063764
39--37,314,281.1861127
37--16,240,458.4551703
16--56,244,367.2890937
56--20,306,375.244272
20--53,217,351.5132
53--59,440,328.9119935
59--30,895,920.8899132
30--29,311,386.1642508
29--60,209,257.829528
60--33,322,403.8278032
33--62,325,386.4427957
62--61,406,429.7266401
61--34,248,281.0805626
34--6,322,430.3034061
6--48,377,377.798859
48--12,498,306.0224632
12--49,242,254.0332025
49--51,316,368.5087494
51--2,283,305.082435
2--5,234,480.951309
5--50,244,299.9538427
50--37,406,320.6926957
37--64,415,539.0981469
64--38,424,457.118655
38--63,362,344.4729255
63--29,298,456.8318698
29--31,622,535.2629478
31--28,388,376.4867133
28--30,271,290.4289594
30--42,382,390.9341284
42--40,658,806.9263133
40--41,335,347.6541976
41--43,252,246.6756545
43--45,343,398.4291257
45--82,212,151.7869542
82--80,359,413.3908797
80--44,280,331.0380334
44--57,272,443.8991666
57--26,1139,959.8522184
26--58,305,441.4300281
58--25,235,303.7801519
25--64,470,324.9272018
64--44,1003,812.7103293
44--38,295,388.3295674
38--67,288,361.7394619
67--9,524,451.4823024
9--53,634,524.6803931
53--16,286,368.0055522
16--52,229,362.8340127
52--74,309,280.5200714
74--17,877,648.3344339
17--75,250,420.7838944
75--7,207,291.1048172
7--38,410,422.425974
38--45,232,317.3244839
45--44,350,398.7468471
44--39,296,417.8983383
39--14,380,389.9434119
14--47,877,795.3821717
47--46,386,404.5225211
46--10,320,269.3521227
10--22,261,485.736389
22--86,720,908.4682505
86--55,295,338.1089407
55--88,438,190.8535647
88--70,248,291.097269
70--8,1017,1046.809187
8--13,568,412.2494325
13--71,242,355.7533236
71--78,326,384.6375095
78--83,805,718.0238247
83--21,307,377.1947146
21--85,242,331.9946972
85--19,280,427.9098201
19--77,387,498.1032991
77--76,259,386.7631623
76--23,279,262.942728
23--15,271,416.4043536
15--69,1286,1008.058043
69--11,322,320.7854224
11--68,370,297.4016609
68--21,253,369.4171572
21--75,777,942.7827444
75--17,197,406.3431356
17--78,259,276.24198
78--54,289,375.1023341
54--22,759,657.9961813
22--18,290,384.539582
18--55,235,285.1525254
55--4,369,403.1681481
4--73,839,858.6156544
73--72,279,376.5088931
72--3,254,323.753231
3--90,279,332.5962313
90--77,568,590.5597434
77--23,692,308.6373834
23--92,315,329.6649823
92--67,236,272.7238239
67--82,665,268.2510279
82--84,297,309.0263219
84--44,207,270.0991273
44--38,400,293.5130948
38--45,209,277.735089
45--44,278,340.485049
44--39,259,315.6012846
39--42,298,289.1966718
42--87,280,389.8896585
87--89,325,269.4419599
89--43,351,241.6676268
43--42,231,180.8577971
42--91,287,295.139421
91--89,223,249.3149987
89--66,586,250.5335873
66--56,253,259.9628888
56--81,436,483.4044454
81--20,294,380.8226536
20--79,169,214.1186387
79--33,224,354.6790823
33--35,689,755.9808364
35--34,300,280.6089135
34--32,189,274.9716052
