index,MT,d
2--3,40,0
3--4,699,378.5392877
4--5,706,292.778083
5--9,551,424.8884247
9--17,426,156.8806196
17--16,516,347.6279562
16--7,418,276.2034498
7--4,495,364.2510654
4--10,417,132.9111559
10--2,498,340.4598829
2--11,543,234.3626352
11--4,558,396.2613757
4--18,499,276.9800345
18--2,756,461.5744785
2--19,585,467.6346741
19--13,612,492.0077092
13--6,933,653.736668
6--12,542,315.2853086
12--8,604,290.7796862
8--19,626,374.4860037
19--22,618,547.5730542
22--18,670,337.8475267
18--23,635,313.794549
23--14,661,302.9079567
14--11,939,1022.711903
11--10,570,332.8486066
10--15,560,275.6189987
15--17,712,309.5637473
17--20,847,699.524835
20--21,689,287.9293695
21--16,563,234.8867046
16--9,695,352.7572594
9--8,682,246.6256832
8--6,626,266.0437744
6--7,589,250.9882559
7--24,679,334.5760675
24--26,791,639.7822244
26--27,180,23.16290114
27--25,511,218.4393721
25--66,662,358.8209405
66--41,939,977.3547799
41--42,543,299.2135709
42--65,662,287.4282949
65--36,698,377.6437589
36--38,780,530.8480039
38--39,624,319.2298159
39--37,685,245.6608456
37--16,734,340.6367277
16--56,668,282.3857631
56--20,752,311.3430486
20--53,642,201.9947118
53--59,687,283.034049
59--30,1584,791.8689629
30--29,672,310.0438435
29--60,580,246.8395118
60--33,597,328.7731485
33--62,602,285.8819938
62--61,553,370.4304663
61--34,535,289.8579533
34--6,631,385.8130702
6--48,580,365.3952266
48--12,681,306.4509863
12--49,670,208.7101288
49--51,676,305.331126
51--2,716,332.7460148
2--5,789,353.3578708
5--50,730,312.8297707
50--37,671,303.6311719
37--64,741,358.890436
64--38,635,317.9713198
38--63,640,245.7319297
63--29,706,295.7317356
29--31,816,428.0488372
31--28,669,313.2034999
28--30,657,247.9351535
30--42,740,285.5093908
42--40,860,707.4586035
40--41,549,338.4395654
41--43,598,216.5343303
43--45,799,343.1715132
45--82,634,172.0512983
82--80,774,331.3528458
80--44,707,263.953677
44--57,661,317.3360035
57--26,907,862.4388923
26--58,780,327.3309465
58--25,647,253.6036603
25--64,758,327.7452955
64--44,910,726.8492342
44--38,607,442.0918991
38--67,595,276.8485971
67--9,647,326.2766734
9--53,763,527.3690684
53--16,834,292.7088976
16--52,735,233.1590976
52--74,757,314.9023715
74--17,897,571.7526397
17--75,689,345.616435
75--7,604,169.3731332
7--38,643,310.8377493
38--45,636,308.5836496
45--44,743,313.9417482
44--39,576,262.6827393
39--14,681,309.4321613
14--47,942,242.4488698
47--46,1495,491.2895832
46--10,670,215.2412108
10--22,670,291.311885
22--86,769,807.7249094
86--55,733,314.3819456
55--88,784,197.2916444
88--70,842,335.5681189
70--8,1518,1119.137636
8--13,1015,339.846074
13--71,752,230.5232637
71--78,721,279.6670531
78--83,970,644.5158012
83--21,769,333.4440083
21--85,602,251.9299215
85--19,811,327.008215
19--77,842,381.4486534
77--76,911,298.5197622
76--23,688,214.4356393
23--15,930,336.3197123
15--69,1367,1094.910924
69--11,662,328.0940424
11--68,838,220.2517984
68--21,960,294.3364855
21--75,1358,964.7951574
75--17,805,293.7625764
17--78,826,267.6301496
78--54,924,291.2975773
54--22,970,597.2968867
22--18,976,272.1538618
18--55,794,223.9342648
55--4,907,336.9450804
4--73,1068,743.6206988
73--72,985,277.0203106
72--3,915,252.0882969
3--90,960,320.760611
90--77,1129,553.3965873
77--23,690,294.3638955
23--92,853,247.7285949
92--67,895,279.6057427
67--82,638,351.9913412
82--84,1060,286.3720689
84--44,861,283.0046607
44--38,933,339.9084759
38--45,962,221.8829083
45--44,825,339.7550686
44--39,960,257.6499321
39--42,815,336.9636433
42--87,961,367.9766574
87--89,917,346.1746167
89--43,943,234.6987284
43--42,808,328.8400136
42--91,951,236.5184752
91--89,884,287.5274534
89--66,1004,261.7248653
66--56,1073,309.5291234
56--81,974,517.2571466
81--20,943,338.4982822
20--79,984,262.0695897
79--33,1065,316.2819826
33--35,1415,739.2826543
35--34,807,323.6610579
34--32,975,241.682959
