index,MT,d
2--3,41,0
3--4,885,36.00551392
4--5,475,274.1549507
5--9,471,261.3489284
9--17,416,177.2673213
17--16,558,246.004528
16--7,479,209.7182772
7--4,503,342.7521076
4--10,434,125.9174822
10--2,460,309.0179757
2--11,542,214.9580842
11--4,451,346.1200592
4--18,470,192.1643164
18--2,660,436.7403257
2--19,569,413.6876971
19--13,578,472.7757958
13--6,671,742.8737887
6--12,488,316.1235993
12--8,425,258.8921795
8--19,314,374.1117564
19--22,579,488.6274397
22--18,433,276.8899095
18--23,405,240.6765265
23--14,345,280.457758
14--11,738,1043.111032
11--10,486,287.0036851
10--15,379,240.4988762
15--17,432,336.1350665
17--20,642,716.4410036
20--21,431,226.0325302
21--16,427,237.6888104
16--9,469,355.2469499
9--8,390,245.9790866
8--6,371,318.3943967
6--7,414,250.0448841
7--24,546,284.2256628
24--26,724,575.3505585
26--27,477,289.7086171
27--25,415,276.6230636
25--66,423,340.4244613
66--41,949,1002.495838
41--42,408,352.1400673
42--65,297,260.8655568
65--36,453,353.1798277
36--38,661,516.2030416
38--39,485,327.0699709
39--37,388,200.7609958
37--16,379,322.1373769
16--56,351,289.5331612
56--20,353,285.395584
20--53,377,236.6957051
53--59,460,321.4021669
59--30,624,793.4977913
30--29,388,321.4288954
29--60,446,281.0805916
60--33,450,332.6684547
33--62,400,277.7041794
62--61,381,296.1398191
61--34,434,256.2383724
34--6,408,316.904544
6--48,432,349.4899848
48--12,451,323.5342424
12--49,441,246.2454253
49--51,388,318.5678773
51--2,416,314.8582083
2--5,398,340.5564587
5--50,217,238.3234779
50--37,359,364.498897
37--64,376,344.5136146
64--38,390,332.7863104
38--63,413,286.5085256
63--29,324,373.6686574
29--31,497,511.1955707
31--28,323,334.1869883
28--30,411,283.8867359
30--42,296,376.1812605
42--40,654,701.7653723
40--41,495,375.184709
41--43,294,233.7096395
43--45,399,348.1588956
45--82,261,225.0847357
82--80,252,314.2261828
80--44,368,248.8974608
44--57,325,347.5620286
57--26,707,927.9520077
26--58,345,377.7210272
58--25,413,224.0661488
25--64,442,350.344873
64--44,658,743.922631
44--38,389,325.817482
38--67,305,295.4515573
67--9,136,199.8002404
9--53,515,500.5047607
53--16,271,297.9038263
16--52,255,256.7217884
52--74,422,333.4439977
74--17,719,622.4896949
17--75,353,316.5592084
75--7,371,227.0648464
7--38,396,357.4359765
38--45,235,354.7835837
45--44,260,331.313569
44--39,307,258.7102844
39--14,389,355.7171397
14--47,793,724.8124499
47--46,434,298.401699
46--10,398,327.2387722
10--22,426,314.1413035
22--86,894,853.3169217
86--55,353,312.9309374
55--88,333,229.5260953
88--70,362,327.7667565
70--8,701,1126.94138
8--13,353,340.669966
13--71,424,288.9440743
71--78,290,367.0748803
78--83,631,642.6291873
83--21,403,327.7458631
21--85,353,311.5060746
85--19,361,348.683969
19--77,549,323.3094788
77--76,429,340.4850927
76--23,420,248.0512744
23--15,379,306.7183203
15--69,724,991.3105943
69--11,323,373.8961242
11--68,373,278.6202348
68--21,471,394.8578995
21--75,923,924.9207445
75--17,350,338.3374305
17--78,352,218.8423016
78--54,404,314.3273899
54--22,723,632.5789923
22--18,460,327.082322
18--55,411,257.9129018
55--4,386,323.5062023
4--73,651,711.706565
73--72,325,373.9972593
72--3,384,257.1273048
3--90,341,295.3390837
90--77,489,569.9409934
77--23,307,197.1477019
23--92,388,242.7637781
92--67,14,0
67--82,588,298.7598572
82--84,281,305.3961442
84--44,331,293.0307564
44--38,394,383.1056653
38--45,435,264.8854045
45--44,325,276.7935367
44--39,244,253.6792082
39--42,414,338.3449738
42--87,408,397.6201744
87--89,344,404.995804
89--43,362,277.0774377
43--42,772,350.4422524
42--91,498,257.4999462
91--89,776,285.001202
89--66,466,199.8825795
66--56,424,373.0848196
56--81,720,503.377036
81--20,623,329.771539
20--79,441,213.9546952
79--33,513,225.3524296
33--35,756,755.1890785
35--34,443,280.417598
34--32,407,254.1510689
