index,MT,d
2--3,16,0.0
3--4,874,329.19349701384
4--5,702,251.25572132745225
5--9,605,295.796753198134
9--17,316,132.35360189792655
17--16,541,306.60037141844504
16--7,415,222.77932962434204
7--4,444,343.5632717195111
4--10,367,181.88261516980555
10--2,549,288.47215698746663
2--11,804,257.3238314985663
11--4,1339,286.9386742223441
4--18,1455,178.66939824710192
18--2,1318,421.86159624403916
2--19,749,420.6820235660057
19--13,1174,448.7657173711696
13--6,1282,682.4851228553258
6--12,648,279.27001703226296
12--8,551,217.3473815416335
8--19,830,318.5633860827109
19--22,4663,41.56004924477144
22--18,486,289.69004943250275
18--23,475,221.01027069959508
23--14,425,402.83396971488867
14--11,1028,1001.7517697977509
11--10,533,335.8756603892469
10--15,316,214.81570100025425
15--17,358,265.45682719276016
17--20,538,673.4856617391108
20--21,324,293.1963370206669
21--16,261,321.16055588201664
16--9,299,277.9241410603619
9--8,285,240.36888874449014
8--6,333,316.6491320718197
6--7,253,314.9691272740542
7--24,424,325.9516495538746
24--26,784,525.659717860584
26--27,474,369.15567429812177
27--25,341,193.07633596948747
25--66,0,0.0
66--41,404,321.34205272453676
41--42,404,332.81859687125745
42--65,880,192.9424208543211
65--36,727,301.6334560035155
36--38,649,496.21926388449145
38--39,706,323.43667341811414
39--37,588,250.70885417897944
37--16,630,328.448617532794
16--56,470,314.1402684727491
56--20,523,351.49940572449697
20--53,484,248.81441536009348
53--59,495,280.60894484876076
59--30,922,757.642678173546
30--29,548,502.155410565101
29--60,414,295.28325734433207
60--33,530,312.4349372421882
33--62,595,251.9790383995296
62--61,590,327.49223311610587
61--34,398,254.1240323137005
34--6,484,349.8054547451328
6--48,539,374.2100300322246
48--12,627,330.3440062297654
12--49,528,294.54617775140895
49--51,415,251.71833113149052
51--2,440,280.8250010217931
2--5,386,451.0909769987864
5--50,442,236.57784030482154
50--37,500,305.9624442136142
37--64,576,402.43401713453403
64--38,542,361.2356404824021
38--63,370,352.66023770939626
63--29,795,275.4855751488066
29--31,1800,511.90091217959196
31--28,623,277.1469058776946
28--30,474,222.96907835706918
30--42,550,347.0137049360394
42--40,1482,698.4607706567796
40--41,629,322.13738786065863
41--43,492,254.08547355064619
43--45,407,285.07621430394204
45--82,281,0.0
82--80,575,294.4905085024175
80--44,600,361.8300939331371
44--57,451,265.14555778621855
57--26,1328,915.0445572433565
26--58,560,378.9880974892441
58--25,444,209.1245158099989
25--64,803,270.0654682014497
64--44,1085,718.5546423546817
44--38,498,298.8877370772211
38--67,517,370.54000712496537
67--9,505,314.22859327406195
9--53,909,483.56297413501034
53--16,570,312.65410801756957
16--52,736,250.11394675791928
52--74,712,291.73783887344035
74--17,695,612.2158329360153
17--75,601,238.30805330488616
75--7,877,231.51895974243382
7--38,532,283.5521665743867
38--45,478,269.2851717078616
45--44,387,352.71210295636644
44--39,1012,206.49905443459926
39--14,422,328.62560403655385
14--47,896,681.8597240334054
47--46,344,332.53694360700825
46--10,505,201.9040640835961
10--22,432,285.16841335193584
22--86,705,797.4077152103259
86--55,543,277.85867004874103
55--88,413,245.20765471703544
88--70,456,343.998024520208
70--8,867,1138.7750931923838
8--13,491,271.3424482111495
13--71,496,249.14406892987165
71--78,504,364.49036975198635
78--83,849,552.482815914675
83--21,351,253.75296490847563
21--85,395,223.9053776721394
85--19,469,268.25950326899886
19--77,543,341.9274852373363
77--76,496,317.2742136380141
76--23,362,218.1024677187403
23--15,512,288.4595691636741
15--69,983,952.4450478545563
69--11,786,363.4765884341203
11--68,514,245.97638951634625
68--21,548,367.06713355752134
21--75,1031,923.1448587994093
75--17,514,360.11182361270187
17--78,421,216.44901110017886
78--54,641,323.74596518578414
54--22,653,565.5927943922915
22--18,569,373.6729805356269
18--55,500,454.13399703049396
55--4,728,305.61607336031847
4--73,739,758.847394861279
73--72,586,359.5545020126819
72--3,515,242.668231069045
3--90,811,585.2184681874505
90--77,1210,558.5645523088875
77--23,742,270.6399952236106
23--92,576,193.7412334602724
92--67,651,298.8049773892879
67--82,549,326.2973841528164
82--84,0,0.0
84--44,2042,205.83075878916523
44--38,830,261.6530056486299
38--45,605,237.86298420926414
45--44,741,257.4871641954616
44--39,612,273.8825957054248
39--42,616,286.37440346314753
42--87,788,382.8546049206371
87--89,424,259.1831560299861
89--43,457,229.94384908839268
43--42,459,273.72004471385713
42--91,394,248.99373114458285
91--89,384,278.46736236128396
89--66,323,214.7599342251222
66--56,476,265.1424185477508
56--81,641,479.24616152542154
81--20,389,327.64343097748684
20--79,397,195.84953085300515
79--33,466,293.65199236261464
33--35,1176,772.5065445274493
35--34,421,357.08154300933546
34--32,316,322.5535801455272
