index,MT,d
2--3,26,0
3--4,1414,313.461247
4--5,796,269.4613475
5--9,1483,334.6544833
9--17,603,154.2035095
17--16,761,302.5180669
16--7,843,202.9645577
7--4,814,304.6767301
4--10,489,149.9648197
10--2,651,315.1113016
2--11,566,225.9030509
11--4,1032,346.2800614
4--18,606,205.926359
18--2,1071,464.5754592
2--19,853,454.8301122
19--13,779,414.5508161
13--6,1138,724.4898306
6--12,907,293.329146
12--8,656,250.9312814
8--19,768,274.0066748
19--22,799,481.6744442
22--18,798,303.2651728
18--23,531,228.8299441
23--14,607,275.4049889
14--11,1151,1006.466285
11--10,533,298.8007198
10--15,472,217.8443607
15--17,517,309.7765543
17--20,798,674.7989598
20--21,709,293.4239643
21--16,693,237.8042997
16--9,639,240.9498249
9--8,522,225.3856659
8--6,539,308.1291591
6--7,435,175.2394008
7--24,616,308.2360885
24--26,947,569.2049134
26--27,622,304.4518712
27--25,517,234.6157106
25--66,549,368.8897409
66--41,1060,1014.143866
41--42,509,245.4231462
42--65,444,223.0071675
65--36,521,266.3332971
36--38,716,495.5981046
38--39,543,312.3721249
39--37,403,173.8304939
37--16,579,289.7184541
16--56,612,219.9974173
56--20,671,299.978019
20--53,417,195.8199653
53--59,498,239.4500404
59--30,844,840.2132955
30--29,558,284.1805341
29--60,381,198.5610657
60--33,412,258.6143507
33--62,408,215.7182005
62--61,458,307.4907922
61--34,332,220.2485341
34--6,489,317.0459961
6--48,444,282.6113942
48--12,368,245.2776446
12--49,326,237.0843803
49--51,399,317.2094823
51--2,371,333.0336296
2--5,522,330.4233923
5--50,337,242.4782633
50--37,362,271.9830057
37--64,526,378.1256275
64--38,408,297.8825088
38--63,259,195.7919034
63--29,390,309.3795067
29--31,400,350.5163174
31--28,263,268.9544261
28--30,262,186.4027562
30--42,278,354.38814
42--40,652,688.2054445
40--41,352,231.8674639
41--43,333,215.7096814
43--45,455,265.4006831
45--82,227,119.6136735
82--80,382,293.3698587
80--44,245,165.4514431
44--57,323,300.2905356
57--26,879,972.7604222
26--58,327,245.4196675
58--25,296,236.6733741
25--64,387,263.4663698
64--44,839,711.5619612
44--38,344,247.4419399
38--67,233,185.986209
67--9,363,304.9337596
9--53,418,362.6084478
53--16,254,278.3602041
16--52,180,196.6467672
52--74,324,235.7312986
74--17,571,609.8652046
17--75,199,255.7114569
75--7,246,238.8379153
7--38,200,211.4678281
38--45,219,247.6758034
45--44,190,270.7378525
44--39,155,146.1737411
39--14,235,229.8147041
14--47,759,706.7982773
47--46,254,307.3975872
46--10,265,214.0217232
10--22,283,323.2920483
22--86,658,734.8745383
86--55,563,296.0287383
55--88,254,194.0131824
88--70,436,314.6622727
70--8,1365,1197.752274
8--13,303,290.1169533
13--71,190,187.6236205
71--78,298,282.8174585
78--83,661,576.5495605
83--21,317,244.0438303
21--85,253,203.956658
85--19,309,315.1325815
19--77,435,345.8149263
77--76,339,344.7694108
76--23,254,208.0318806
23--15,285,275.0360165
15--69,1036,997.1599967
69--11,254,269.2474595
11--68,102,10.98474121
68--21,305,340.5336778
21--75,867,916.8742414
75--17,336,351.2637839
17--78,273,187.4657855
78--54,360,330.8177202
54--22,966,588.8004963
22--18,399,297.8585699
18--55,282,220.238311
55--4,341,300.3401993
4--73,841,747.5790434
73--72,353,301.910543
72--3,244,217.6350238
3--90,354,321.9082794
90--77,471,587.5444102
77--23,382,323.585295
23--92,227,185.4351395
92--67,318,270.8741629
67--82,363,250.9401117
82--84,272,296.4289207
84--44,345,176.8928858
44--38,455,271.296971
38--45,243,208.6653614
45--44,229,272.8344572
44--39,226,239.9668913
39--42,279,232.764323
42--87,327,417.7887811
87--89,199,222.6275901
89--43,283,202.5588485
43--42,859,214.7718247
42--91,334,211.938115
91--89,654,276.7844297
89--66,309,146.3750399
66--56,487,332.6918551
56--81,606,462.0495487
81--20,436,259.8940799
20--79,254,193.0147067
79--33,178,181.8644202
33--35,852,754.0151436
35--34,293,216.8142172
34--32,262,218.6985415
