index,MT,d
2--3,7,0.0
3--4,2642,310.0130635064401
4--5,1535,234.43280378989763
5--9,1683,284.0016543923955
9--17,1337,144.4720219478972
17--16,1620,326.38081252642746
16--7,1610,244.83888395251734
7--4,2020,345.4013556479792
4--10,1737,129.3665026796291
10--2,1908,288.23887252978477
2--11,1448,251.83493384790435
11--4,1557,315.0278353867116
4--18,1392,240.111853371389
18--2,1465,428.98690285482047
2--19,1652,417.6748692835517
19--13,1501,444.53518663825815
13--6,2613,731.4530685015663
6--12,1223,293.1963581335886
12--8,1321,254.83884049174094
8--19,1738,328.5136727298491
19--22,1177,490.6480544986738
22--18,1193,314.5580918418312
18--23,1390,263.82418611793275
23--14,1276,336.2621523594684
14--11,2125,1035.0897292992058
11--10,1204,322.3193839793544
10--15,1421,173.59314600497052
15--17,1516,297.40742985768827
17--20,1338,665.9864056001086
20--21,1167,263.7001912621292
21--16,1363,221.74838219285672
16--9,1176,324.2449439444421
9--8,1140,194.35206636359953
8--6,1083,284.2256422306074
6--7,1210,205.73613401809615
7--24,1171,296.39235198915463
24--26,2516,568.4714388691498
26--27,1148,321.56202384943464
27--25,1058,232.89130520817457
25--66,1401,291.04053776580463
66--41,1547,989.442417396903
41--42,1283,320.4473698222418
42--65,943,188.89465582976786
65--36,1008,313.69893291598316
36--38,1456,530.2683119651588
38--39,1094,285.59386374379073
39--37,1173,219.02472341646475
37--16,1649,299.48838199807983
16--56,1647,248.0669241888918
56--20,1535,301.67821940180204
20--53,1083,238.74380649896943
53--59,1816,300.19506967124016
59--30,2125,784.4966493342471
30--29,1041,340.50642319799044
29--60,1592,239.9144957118274
60--33,1239,312.21698796226997
33--62,1083,244.32273786166394
62--61,1149,364.8554078444076
61--34,1249,261.8430812617858
34--6,913,342.7453549285072
6--48,1621,362.6346374516929
48--12,1409,332.8957091612487
12--49,1917,251.79648306826212
49--51,1086,302.02450716907396
51--2,1310,325.9478344222207
2--5,1667,298.4016990113052
5--50,1134,183.73847465645665
50--37,1637,304.03381309815217
37--64,1621,324.33544010912635
64--38,1169,321.40645685812984
38--63,1014,242.30988400803253
63--29,1119,310.2579812643829
29--31,1647,475.00962382170445
31--28,961,289.5995682972957
28--30,1294,227.822021484375
30--42,1039,320.87078784725406
42--40,1264,698.5570757972052
40--41,1216,308.18000027719376
41--43,1511,232.37009246202953
43--45,957,304.87572373621265
45--82,979,177.4110863602417
82--80,1076,317.5226344645591
80--44,1067,201.75944079991146
44--57,1158,330.6190445730667
57--26,2416,902.905692194854
26--58,1329,249.32027162801796
58--25,1197,216.29211803022622
25--64,1221,356.7391737902822
64--44,1574,737.196934066495
44--38,988,294.2258321533755
38--67,875,255.95801006620647
67--9,1168,307.96686160420325
9--53,1446,531.7492736765063
53--16,950,331.33080289295043
16--52,956,271.7127854700692
52--74,976,337.654788503508
74--17,2165,577.2600705644545
17--75,1268,295.25454497633365
75--7,896,270.6314939415963
7--38,1162,278.42207852093014
38--45,995,247.59815970925064
45--44,1574,269.8745173723053
44--39,1321,226.7930495863887
39--14,1212,301.8976317592569
14--47,1901,715.3878888335314
47--46,1031,299.2135073923649
46--10,1041,240.8449857403444
10--22,1068,339.05347268754775
22--86,1074,800.5994968229364
86--55,1221,292.42753707413146
55--88,1137,306.8919455439713
88--70,406,266.8083847556356
70--8,33,0.0
8--13,1292,297.6043691714912
13--71,1085,242.8123715531096
71--78,1209,322.97785551201383
78--83,1340,656.4902205806774
83--21,1103,308.65231420844907
21--85,1295,259.844973897591
85--19,1264,320.2616424614734
19--77,1241,371.8694183289598
77--76,1356,293.2040655421651
76--23,1231,196.85638388845763
23--15,1051,264.1881627393151
15--69,2087,993.3224503649166
69--11,1350,279.8915732931254
11--68,941,211.71539529201738
68--21,1224,297.6189616112566
21--75,1392,921.8893155100174
75--17,1176,296.021074186031
17--78,1010,218.02763164401173
78--54,1187,293.8885332393606
54--22,1194,606.1315604524304
22--18,1161,317.7608646688876
18--55,896,241.81109619140625
55--4,1400,331.9838903490771
4--73,1459,713.3460257840844
73--72,1282,300.9052507470363
72--3,1020,221.84419926975238
3--90,1058,321.65684390968994
90--77,1671,620.7474404969876
77--23,764,248.11285087699596
23--92,1187,200.7311699399391
92--67,2601,300.19508048292437
67--82,1672,320.5104631471546
82--84,1176,298.12582684667683
84--44,1319,203.51597399766115
44--38,1247,289.51050901982615
38--45,998,212.66331743213928
45--44,949,294.4548324392498
44--39,1359,231.9388238483413
39--42,1328,301.7121637424594
42--87,1603,372.8815782423877
87--89,1562,297.80288915328697
89--43,1683,192.36400682291392
43--42,1318,285.5783620088408
42--91,1033,246.2547284829642
91--89,1275,302.31787350542174
89--66,949,232.78195668137585
66--56,1069,291.7249961054913
56--81,1599,500.0017563172615
81--20,1296,330.40030688337
20--79,1057,206.03522814735993
79--33,1122,287.2492189925405
33--35,1882,744.6429130289645
35--34,1187,281.21649060671757
34--32,1293,231.78378466334155
