index,MT,d
2--3,36,0.0
3--4,27,0.0
4--5,749,222.0086849217495
5--9,1011,291.7378497896234
9--17,473,149.36514666427928
17--16,342,243.01551923414706
16--7,318,225.73884883835268
7--4,173,306.7531513000483
4--10,109,55.497539156676076
10--2,263,252.90185118740055
2--11,143,119.92294328181525
11--4,174,202.75262214830815
4--18,151,151.1495815154992
18--2,245,405.3021047255716
2--19,246,334.5286628112536
19--13,286,318.87337026858455
13--6,508,534.1553253234905
6--12,589,284.3831839488614
12--8,190,157.9903036945817
8--19,222,193.74544418285566
19--22,181,248.0959703700761
22--18,129,231.82952090794274
18--23,392,307.98548782294625
23--14,263,213.71987723996463
14--11,446,693.5497551895305
11--10,18,17.949939698464846
10--15,376,224.19091284555375
15--17,194,278.0766209575876
17--20,345,447.7157852279827
20--21,162,174.00706996750947
21--16,147,169.8425238683607
16--9,154,177.43242433884978
9--8,207,199.14784846478375
8--6,69,12.791521951421183
6--7,145,84.09746048782506
7--24,147,122.17320078432205
24--26,270,336.45372757881444
26--27,206,284.05961210421975
27--25,185,114.33904136573486
25--66,172,408.8622674503459
66--41,272,289.0229460161328
41--42,237,239.98498449957413
42--65,103,127.91567830892076
65--36,149,478.08587811579474
36--38,118,169.25753385185297
38--39,156,168.51467862196242
39--37,158,153.6219571416188
37--16,148,351.83828643189645
16--56,108,220.8076716102617
56--20,74,152.96812426531835
20--53,136,139.02760654589608
53--59,0,0.0
59--30,190,585.7586262723765
30--29,98,193.81537352522759
29--60,109,122.68519190722343
60--33,111,165.2888372935616
33--62,88,205.40219520377948
62--61,161,124.62523612045288
61--34,146,269.744886901553
34--6,142,212.80227362181682
6--48,200,274.51363840584935
48--12,156,196.4079759004449
12--49,136,121.13403920923082
49--51,146,216.9300985358904
51--2,156,199.86632589686434
2--5,118,207.9782629627271
5--50,120,171.97919482613094
50--37,127,115.23913109962189
37--64,182,141.0881297700057
64--38,93,89.29863550089415
38--63,141,96.20266129918045
63--29,158,280.2343223612821
29--31,200,297.1589128189772
31--28,132,130.94153149047165
28--30,131,153.90893598811186
30--42,134,149.69367569271213
42--40,175,277.55552363192743
40--41,154,241.67591823450485
41--43,146,138.55281687430463
43--45,112,124.19869892632764
45--82,88,77.93216475866133
82--80,133,115.2675503150421
80--44,108,125.8410946791715
44--57,95,195.62591516306264
57--26,96,209.2950466169611
26--58,143,132.1794281962974
58--25,112,47.67770642965041
25--64,118,133.94669511230484
64--44,188,199.7869950018216
44--38,137,172.6707642207824
38--67,114,202.54272156583866
67--9,150,153.98293762992873
9--53,173,240.54064328657734
53--16,130,261.633733330898
16--52,189,243.19410470734928
52--74,115,99.47290764173492
74--17,224,349.1410233019004
17--75,118,142.7960156225111
75--7,145,143.77263737792572
7--38,101,125.5144760884795
38--45,96,173.42960701253685
45--44,163,280.746239474381
44--39,149,212.3558742204413
39--14,172,197.96069685062037
14--47,120,354.3900313273912
47--46,173,162.46357913842596
46--10,106,157.71984861994125
10--22,114,126.36390144357216
22--86,127,237.117656085846
86--55,151,216.88268964317456
55--88,638,217.1900301751881
88--70,115,119.06252192477481
70--8,178,413.9789029561034
8--13,146,156.83475461219226
13--71,154,173.87563719083036
71--78,144,168.47873545023106
78--83,133,163.87505185032688
83--21,142,160.2535808818078
21--85,103,212.11909000611612
85--19,131,129.60703353912473
19--77,174,162.10040687630524
77--76,168,78.9797982522025
76--23,129,119.42496488754072
23--15,117,103.13458647763427
15--69,148,288.2754489438291
69--11,163,154.69760770614894
11--68,119,42.13172515657577
68--21,123,278.95144635164706
21--75,169,253.61306316512923
75--17,112,203.37941929108555
17--78,260,173.40904377304273
78--54,190,182.44374446803957
54--22,245,358.11995894507226
22--18,142,133.43583308915748
18--55,121,232.06057489171724
55--4,127,275.1021404045997
4--73,31,34.965034448238185
73--72,118,178.20461486644783
72--3,117,175.2739957347101
3--90,167,173.83651492325492
90--77,187,235.13880078908315
77--23,128,256.0670562937774
23--92,190,149.1255805235913
92--67,165,213.14456283364962
67--82,184,154.9844577927344
82--84,163,244.53294150094223
84--44,127,124.14629644820474
44--38,173,190.42709287842115
38--45,118,155.67962247267397
45--44,159,189.87297849208304
44--39,155,101.27722532585028
39--42,169,125.55377711945887
42--87,41,29.042585097965127
87--89,122,71.02619837972705
89--43,146,205.86954464442778
43--42,123,94.39650737857932
42--91,154,134.44791464016723
91--89,151,129.69207606710737
89--66,106,115.29093297004451
66--56,95,223.42855535880994
56--81,218,302.6493788736934
81--20,182,96.48454015621151
20--79,119,179.89308728515462
79--33,161,152.45393806475536
33--35,154,391.3534627724023
35--34,91,131.00079179219202
34--32,118,114.59921641603935
